hour,action,delta,soc,soc_before,dod_morning,dod_evening,p_battery,p_pv_raw,p_pv_grid,p_bess_em,p_reserve,price_em,price_as,revenue_pv,revenue_energy,revenue_reserve,degradation_cost,reward,q1_eval,q2_eval,cumulative_revenue,cumulative_degradation,cumulative_profit,time_to_peak_hour_raw,k,weekday,season,price_em_raw,price_as_raw,p_res_total_raw,soc_raw,dod_raw,price_em_max_morning,price_em_max_evening,k_em_max_morning,k_em_max_evening,price_em_min,k_em_min,price_as_min,price_as_max,time_to_peak_hour,season_name,eval_date
0,9.726992296473988e-14,-9.726992296473988e-14,0.5000000000000404,0.5,4.04121180963557e-14,0.0,-1.4590488444710982e-13,0.0,0.0,-1.4590488444710982e-13,1.4000000000000001,84.48000000000002,0.1218438238360433,0.0,-1.232604463809184e-11,0.17058135337046063,6.383338694561053e-14,0.0008529067667903536,13.297440528869629,13.244531631469727,0.17058135335813457,6.383338694561053e-14,0.17058135335807073,7.0,0.0,1.9999999701976776,0.0,84.47999831780791,0.12184352189449091,0.0,0.5,0.0,158.96000035703182,155.9200036406517,7.0000001192092896,16.999999940395355,69.98999930888414,3.0000000596046448,0.12184381789137742,4.97146951909499,6.999999895691872,winter,2025-01-08
1,0.9999278783798218,-0.9999278783798218,0.8880000000000012,0.5000000000000404,0.38800000000000123,0.0,-1.3999999999998587,0.0,0.0,-1.3999999999998587,1.4000000000001416,75.07,0.24851314564578963,0.0,-105.09799999998938,0.3479184039041407,12.249999999998762,-0.58500040798042,1.8817481994628906,2.2273635864257812,-104.57950024272711,12.249999999998826,-116.82950024272593,6.0,0.9999997615814209,1.9999999701976776,0.0,75.06999712184071,0.24851351158812082,0.0,0.5000000000000404,0.0,158.96000035703182,155.9200036406517,7.0000001192092896,16.999999940395355,69.98999930888414,3.0000000596046448,0.12184381789137742,4.97146951909499,5.999999955296516,winter,2025-01-08
2,0.9213544726371765,-0.9213544726371765,0.8996400000000001,0.8880000000000012,0.3996400000000001,0.0,-0.04199999999999576,0.0,0.0,-0.04199999999999576,1.5,72.94,0.25333864361949454,0.0,-3.0634799999996907,0.3800079654292418,0.36749999999996286,-0.015254860172852058,1.8559911251068115,1.6329666376113892,-107.26297227729755,12.617499999998788,-119.88047227729633,5.0,2.0000002086162567,1.9999999701976776,0.0,72.93999967619777,0.2533389675491468,0.0,0.8880000000000012,0.3879999965429306,158.96000035703182,155.9200036406517,7.0000001192092896,16.999999940395355,69.98999930888414,3.0000000596046448,0.12184381789137742,4.97146951909499,4.999999701976776,winter,2025-01-08
3,0.2653545141220093,-0.2653545141220093,0.8999892,0.8996400000000001,0.39998920000000004,0.0,-0.0012599999999997058,0.0,0.0,-0.0012599999999997058,1.5,69.99000000000001,0.24127489868523225,0.0,-0.08818739999997942,0.3619123480278484,0.011024999999997424,0.0013134997401393579,0.9174014329910278,0.8940906524658203,-106.98924732926967,12.628524999998787,-119.61777232926846,4.0,2.9999999701976776,1.9999999701976776,0.0,69.9899972435832,0.24127482172752535,0.0,0.8996400000000001,0.3996400013566017,158.96000035703182,155.9200036406517,7.0000001192092896,16.999999940395355,69.98999930888414,3.0000000596046448,0.12184381789137742,4.97146951909499,3.999999761581421,winter,2025-01-08
4,0.3798198997974396,-0.3798198997974396,0.899999676,0.8999892,0.39999967599999997,0.0,-3.779999999992123e-05,0.0,0.0,-3.779999999992123e-05,1.5,83.14,0.24127489868523225,0.0,-0.003142691999993451,0.3619123480278484,0.0003307499999993107,0.001792194530139278,-0.2938289940357208,-0.421146422624588,-106.63047767324183,12.628855749998786,-119.25933342324062,3.0,3.9999997317790985,1.9999999701976776,0.0,83.14000310495496,0.24127482172752535,0.0,0.8999892,0.39998920261859894,158.96000035703182,155.9200036406517,7.0000001192092896,16.999999940395355,69.98999930888414,3.0000000596046448,0.12184381789137742,4.97146951909499,2.9999998211860657,winter,2025-01-08
5,0.7109614610671997,-0.7109614610671997,0.89999999028,0.899999676,0.39999999028,0.0,-1.1340000001802686e-06,0.0,0.0,-1.1340000001802686e-06,1.5,110.43,0.27505338450116473,0.0,-0.00012522762001990708,0.4125800767517471,9.922500001577348e-06,0.002062224633158628,4.629767894744873,4.953282833099365,-106.2180228241101,12.628865672498788,-118.84688849660888,2.0,5.000000178813934,1.9999999701976776,0.0,110.42999707952143,0.27505301345470723,0.0,0.899999676,0.3999996781349182,158.96000035703182,155.9200036406517,7.0000001192092896,16.999999940395355,69.98999930888414,3.0000000596046448,0.12184381789137742,4.97146951909499,1.9999998807907104,winter,2025-01-08
6,0.9996801614761353,0.9996801614761353,0.4583150883023261,0.89999999028,0.4416849019776739,0.0,1.4995202422142029,0.0,0.0,1.4995202422142029,0.00047975778579711914,132.36,0.39689720833720804,0.0,198.47649925947192,0.00019041452586091682,16.40100264921784,0.9103784351238997,18.4107666015625,19.00311279296875,92.25866684988769,29.029868321716627,63.22879852817106,0.0,5.999999940395355,1.9999999701976776,0.0,132.3600006171316,0.3968975471873112,0.0,0.89999999028,0.3999999910593033,158.96000035703182,155.9200036406517,7.0000001192092896,16.999999940395355,69.98999930888414,3.0000000596046448,0.12184381789137742,4.97146951909499,0.0,winter,2025-01-08
7,0.998970627784729,0.998970627784729,0.1,0.4583150883023261,0.79999999028,0.0,1.2541028090581412,0.0,0.0,1.2541028090581412,0.2458971909418588,158.96,1.278756963031735,0.0,199.35218252788212,0.314442745106846,27.433498948146834,0.8611656316242108,27.661638259887695,27.367918014526367,291.9252921228766,56.46336726986346,235.46192485301316,0.0,7.000000044703484,1.9999999701976776,0.0,158.95999994192275,1.2787569598911295,0.0,0.4583150883023261,0.44168490171432495,158.96000035703182,155.9200036406517,7.0000001192092896,16.999999940395355,69.98999930888414,3.0000000596046448,0.12184381789137742,4.97146951909499,0.0,winter,2025-01-08
8,0.9862000942230225,0.9862000942230225,0.1,0.1,0.79999999028,0.0,0.0,1.1625090660291302,1.1625090660291302,0.0,0.0,152.95,3.847128259536039,177.80576164915544,0.0,0.0,0.0,0.8890288082457772,31.64655113220215,32.387454986572266,469.73105377203206,56.46336726986346,413.2676865021686,0.0,8.000000149011612,1.9999999701976776,0.0,152.94999935634436,3.847127902626169,1.162509173154831,0.1,0.7999999821186066,158.96000035703182,155.9200036406517,7.0000001192092896,16.999999940395355,69.98999930888414,3.0000000596046448,0.12184381789137742,4.97146951909499,0.0,winter,2025-01-08
9,0.08585377037525177,-0.08585377037525177,0.1356906388274261,0.1,0.79999999028,0.0,-0.12878065556287766,3.933706598794178,3.8049259432313005,-0.0,0.0,124.37,4.971469287409224,473.2186395596769,-0.0,0.0,2.8170768404379483,2.352007813596195,32.23501205444336,31.607040405273438,942.949693331709,59.28044411030141,883.6692492214075,8.0,9.000000081956387,1.9999999701976776,0.0,124.3699987833202,4.971469259926353,3.933706507086754,0.1,0.7999999821186066,158.96000035703182,155.9200036406517,7.0000001192092896,16.999999940395355,69.98999930888414,3.0000000596046448,0.12184381789137742,4.97146951909499,7.999999992549419,winter,2025-01-08
