hour,action,delta,soc,soc_before,dod_morning,dod_evening,p_battery,p_pv_raw,p_pv_grid,p_bess_em,p_reserve,price_em,price_as,revenue_pv,revenue_energy,revenue_reserve,degradation_cost,reward,cumulative_revenue,cumulative_degradation,cumulative_profit,k,weekday,season,price_em_raw,price_as_raw,p_res_total_raw,soc_raw,dod_raw,price_em_max_morning,price_em_max_evening,k_em_max_morning,k_em_max_evening,price_em_min,k_em_min,price_as_min,price_as_max,max_future_price_delta,avg_future_price_delta,peak_hour_price_delta,time_to_peak_hour
0,0.06128935143351555,0.06128935143351555,0.47893836720497746,0.5,0.021061632795022545,0.0,1.225787028670311,0.5215498606617941,0.5215498606617941,1.225787028670311,18.252663110667896,83.14999999999999,1.1644882379556112,43.366870914028176,101.92419143393634,21.255011503739045,1.072563650086522,-0.01881628510934597,166.54607385170357,1.072563650086522,165.47351020161705,0.0,0.0,0.0,83.14999998835846,1.1644884185864801,0.5215495824813843,0.5,0.0,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,47.45000132977961,19.64086975255981,47.44999998807907,7.999999992549419
1,0.07321815937757492,0.07321815937757492,0.45377748769378334,0.47893836720497746,0.046222512306216657,0.0,1.4643631875514984,0.0,0.0,1.4643631875514984,18.5356368124485,82.73,1.056661682411641,0.0,121.14676650613546,19.58589717881298,1.2813177891075611,-0.0504264321833975,307.27873753665205,2.353881439194083,304.92485609745796,0.9999997615814209,0.0,0.0,82.73000000234693,1.0566615436229732,0.0,0.47893836720497746,0.021061629056930542,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,47.869999204874034,20.97272686067967,47.87000053167343,6.999999895691872
2,0.047868870198726654,0.047868870198726654,0.4373277041203378,0.45377748769378334,0.06267229587966222,0.0,0.9573774039745331,0.6800729650057269,0.6800729650057269,0.9573774039745331,18.36254963101974,77.46999999999998,1.3101646303141927,52.68525259899365,74.16802748590706,24.05796304895099,0.8377052284777164,0.0008519370092720461,458.1899806705037,3.1915866676717997,454.9983940028319,2.0000002086162567,0.0,0.0,77.47000010788439,1.3101647620472403,0.6800729036331177,0.45377748769378334,0.0462225079536438,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,53.12999953210351,27.481904630586484,53.1299984049797,5.999999955296516
3,0.015314610674977303,0.015314610674977303,0.4320649513110672,0.4373277041203378,0.0679350486889328,0.0,0.30629221349954605,1.5991813492284268,1.5991813492284268,0.30629221349954605,18.094526437272027,75.21999999999998,1.453175043889333,120.29042108896223,23.039300299435848,26.294514249639473,0.2680056868121028,0.060446507319303594,627.8142163085413,3.4595923544839025,624.3546239540574,2.9999999701976776,0.0,0.0,75.2200001773238,1.4531750926391265,1.5991812944412231,0.4373277041203378,0.06267228722572327,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,55.380001300573326,31.218500217832627,55.3800002002716,4.999999701976776
4,-0.008705910295248032,-0.008705910295248032,0.43487986230653075,0.4320649513110672,0.0679350486889328,0.0,-0.17411820590496063,0.0,0.0,-0.17411820590496063,19.82588179409504,78.69000000000001,1.3314249365946393,0.0,-13.701361622661354,26.396673410635803,0.15235343016684055,0.006154645827662919,640.5095280965157,3.611945784650743,636.897582311865,3.9999997317790985,0.0,0.0,78.69000001959502,1.3314249732269823,0.0,0.4320649513110672,0.067935049533844,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,51.90999871551989,29.208947499860074,51.91000017642975,3.999999761581421
5,-0.05107368901371956,-0.05107368901371956,0.4513936884209667,0.43487986230653075,0.0679350486889328,0.0,-1.0214737802743912,0.0,0.0,-1.0214737802743912,18.97852621972561,82.09999999999998,1.5906967521436028,0.0,-83.8629973605275,30.189080018189735,0.8937895577400923,-0.02650873524026149,586.8356107541779,4.505735342390835,582.329875411787,5.000000178813934,0.0,0.0,82.09999999927238,1.590696664489913,0.0,0.43487986230653075,0.067935049533844,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,48.50000002026556,27.232222611792366,48.50000134706497,2.9999998211860657
6,-0.09085848182439804,-0.09085848182439804,0.4807712642108554,0.4513936884209667,0.0679350486889328,0.0,-1.8171696364879608,1.658173456282761,0.0,-0.1589961802051998,18.18283036351204,94.3,1.9500643327920735,0.0,-14.993339793350339,35.45768896109356,1.5900234319269657,-0.07565550960347275,607.2999599219212,6.095758774317801,601.2042011476034,5.999999940395355,0.0,0.0,94.300000179708,1.9500644917119758,1.6581732034683228,0.4513936884209667,0.067935049533844,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,36.30000252842902,15.916470671528941,36.30000342607498,1.9999998807907104
7,-0.12297314405441284,-0.12297314405441284,0.5205325807884489,0.4807712642108554,0.08846762947738168,0.0,-2.459462881088257,2.437657425313785,0.0,-0.021805455774472016,17.540537118911743,111.39999999999999,2.126502353117476,0.0,-2.4291277732761825,37.299993458310254,2.1520300209522247,-0.0657788302332668,642.1708256069553,8.247788795270026,633.9230368116853,7.000000044703484,0.0,0.0,111.40000039100646,2.1265024027511403,2.4376577138900757,0.4807712642108554,0.067935049533844,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,19.199998694658262,-1.2575001440569906,19.199999163150785,0.0
8,-0.14499621093273163,-0.14499621093273163,0.5674146889900321,0.5205325807884489,0.1353497376789649,0.0,-2.8999242186546326,4.12262341273602,1.2226991940813878,-0.0,17.100075781345367,121.11,2.3566789082459483,148.08109939519687,-0.0,40.29938792330398,12.687168456614017,0.09266325686115673,830.551312925456,20.934957251884043,809.616355673572,8.000000149011612,0.0,0.0,121.10999883770943,2.3566787844787136,4.1226232051849365,0.5205325807884489,0.08846762776374817,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,9.489999850988369,-11.698666590526699,9.489999997615813,0.0
9,-0.1649879664182663,-0.1649879664182663,0.6207607981319382,0.5674146889900321,0.18869584682087098,0.0,-3.299759328365326,9.049034363523349,5.749275035158023,-0.0,14.250724964841977,117.83,2.4346604782348846,677.4370773926698,-0.0,34.69567685809598,14.436447061598301,0.3464106022551696,1542.684067176222,35.371404313482344,1507.3126628627397,9.000000081956387,0.0,0.0,117.83000042796134,2.4346604367992475,9.049034342169762,0.5674146889900321,0.13534975051879883,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,12.770002571344364,-9.01999927606434,12.769997541904448,0.0
