hour,action,delta,soc,soc_before,dod_morning,dod_evening,p_battery,p_pv_raw,p_pv_grid,p_bess_em,p_reserve,price_em,price_as,revenue_pv,revenue_energy,revenue_reserve,degradation_cost,reward,q1_eval,q2_eval,cumulative_revenue,cumulative_degradation,cumulative_profit,time_to_peak_hour_raw,k,weekday,season,price_em_raw,price_as_raw,p_res_total_raw,soc_raw,dod_raw,price_em_max_morning,price_em_max_evening,k_em_max_morning,k_em_max_evening,price_em_min,k_em_min,price_as_min,price_as_max,time_to_peak_hour,season_name,eval_date
0,4.2346964619355276e-05,4.2346964619355276e-05,0.4999812900009046,0.5,1.8709999095423147e-05,0.0,6.352044692903291e-05,0.0,0.0,6.352044692903291e-05,1.4000000000000001,89.72,0.12824024619544783,0.0,0.005699054498472833,0.17953634467362697,2.7790195531451897e-05,0.0009260380448828417,17.860029220581055,17.645774841308594,0.1852353991720998,2.7790195531451897e-05,0.18520760897656835,0.0,0.0,0.9999999403953552,2.000000014901161,89.72000010430813,0.12824036244504788,0.0,0.5,0.0,89.72,223.23000127717853,0.0,20.000000059604645,0.009999117851258177,13.000000029802322,0.12824024596070102,10.443487426531613,0.0,summer,2025-06-10
1,0.0011203986359760165,0.0011203986359760165,0.49948626851225536,0.4999812900009046,0.0005137314877446397,0.0,0.0016805979539640248,0.0,0.0,0.0016805979539640248,1.399934515003166,81.57999999999998,0.25399039052302264,0.0,0.13710318108438513,0.3555699141723124,0.0007352616048592607,0.002459689168259191,9.461108207702637,10.660321235656738,0.6779084944287973,0.0007630518003907126,0.6771454426284066,0.0,0.9999997615814209,0.9999999403953552,2.000000014901161,81.58000047549606,0.25399059129393625,0.0,0.4999812900009046,1.8715858459472656e-05,89.72,223.23000127717853,0.0,20.000000059604645,0.009999117851258177,13.000000029802322,0.12824024596070102,10.443487426531613,0.0,summer,2025-06-10
2,2.668003621850157e-12,-2.668003621850157e-12,0.4994862685133645,0.49948626851225536,0.0005137314877446397,0.0,-4.002005432775235e-12,0.0,0.0,-4.002005432775235e-12,1.3982019397928935,70.98000000000002,0.23655967744791317,0.0,-2.8406234561838627e-10,0.33075819988445343,1.7508773768391652e-12,0.0016537909979932011,-9.61732006072998,-11.193585395812988,1.0086666940291884,0.00076305180214159,1.0079036422270469,18.0,2.0000002086162567,0.9999999403953552,2.000000014901161,70.98000505685806,0.2365596561208193,0.0,0.49948626851225536,0.0005137324333190918,89.72,223.23000127717853,0.0,20.000000059604645,0.009999117851258177,13.000000029802322,0.12824024596070102,10.443487426531613,18.000000178813934,summer,2025-06-10
3,8.173699381447495e-15,-8.173699381447495e-15,0.49948626851336786,0.4994862685133645,0.0005137314877446397,0.0,-1.2260549072171242e-14,0.0,0.0,-1.2260549072171242e-14,1.3982019397967755,61.71000000000002,0.23655967744791317,0.0,-7.565984832436876e-13,0.33075819988537175,5.3639902190749176e-15,0.0016537909994230487,-7.822891712188721,-9.717511177062988,1.3394248939138034,0.0007630518021469539,1.3386618421116565,17.0,2.9999999701976776,0.9999999403953552,2.000000014901161,61.71000393301249,0.2365596561208193,0.0,0.4994862685133645,0.0005137324333190918,89.72,223.23000127717853,0.0,20.000000059604645,0.009999117851258177,13.000000029802322,0.12824024596070102,10.443487426531613,17.00000023841858,summer,2025-06-10
4,9.221621946955971e-13,-9.221621946955971e-13,0.4994862685137512,0.49948626851336786,0.0005137314877446397,0.0,-1.3832432920433957e-12,0.0,0.0,-1.3832432920433957e-12,1.3982019397967875,56.05,0.25399039052302264,0.0,-7.753078651903233e-11,0.35512985671903385,6.051689402689855e-13,0.0017756492832044896,20.27036476135254,17.870527267456055,1.6945547505553067,0.0007630518027521229,1.6937916987525545,16.0,3.9999997317790985,0.9999999403953552,2.000000014901161,56.04999553978443,0.25399059129393625,0.0,0.49948626851336786,0.0005137324333190918,89.72,223.23000127717853,0.0,20.000000059604645,0.009999117851258177,13.000000029802322,0.12824024596070102,10.443487426531613,16.000000298023224,summer,2025-06-10
5,7.728591529775064e-13,-7.728591529775064e-13,0.4994862685140725,0.4994862685137512,0.0005137314877446397,0.0,-1.1592887294662596e-12,0.360550611497544,0.36055061149638473,-0.0,1.3982019397981293,68.89,0.6225254669681922,24.838331625985944,-0.0,0.8704163154886626,5.071888191414885e-13,0.12854373970737049,52.331642150878906,51.68865203857422,27.40330269202991,0.0007630518032593117,27.402539640226653,15.0,5.000000178813934,0.9999999403953552,2.000000014901161,68.88999850273133,0.6225253043349862,0.36055058240890503,0.4994862685137512,0.0005137324333190918,89.72,223.23000127717853,0.0,20.000000059604645,0.009999117851258177,13.000000029802322,0.12824024596070102,10.443487426531613,15.000000044703484,summer,2025-06-10
6,1.6159891079361305e-13,-1.6159891079361305e-13,0.4994862685141397,0.4994862685140725,0.0005137314877446397,0.0,-2.4239836619041957e-13,2.3607217680533625,2.36072176805312,-0.0,1.3982019397992538,80.92000000000002,2.077990008739826,191.0296054708585,-0.0,2.905449661103493,1.0604928520830855e-13,0.9696752756598095,57.05781173706055,56.70932388305664,221.3383578239919,0.0007630518033653609,221.33759477218854,14.0,5.999999940395355,0.9999999403953552,2.000000014901161,80.91999739676714,2.077989672285159,2.360721677541733,0.4994862685140725,0.0005137324333190918,89.72,223.23000127717853,0.0,20.000000059604645,0.009999117851258177,13.000000029802322,0.12824024596070102,10.443487426531613,14.000000104308128,summer,2025-06-10
7,2.11383875355943e-13,-2.11383875355943e-13,0.49948626851422756,0.4994862685141397,0.0005137314877446397,0.0,-3.170758130339145e-13,5.14517257237319,5.145172572372873,-0.0,1.398201939799489,84.86,4.340247555702237,436.619344491562,-0.0,6.0685425515928575,1.3872066820233757e-13,2.213439435215774,48.47510528564453,47.703914642333984,664.0262448671467,0.0007630518035040816,664.0254818153433,13.0,7.000000044703484,0.9999999403953552,2.000000014901161,84.86000125229359,4.3402472070099,5.145172476768494,0.4994862685141397,0.0005137324333190918,89.72,223.23000127717853,0.0,20.000000059604645,0.009999117851258177,13.000000029802322,0.12824024596070102,10.443487426531613,13.00000000745058,summer,2025-06-10
8,1.2506255796587706e-12,-1.2506255796587706e-12,0.4994862685147475,0.49948626851422756,0.0005137314877446397,0.0,-1.875938369488156e-12,7.263348573388453,7.263348573386577,-0.0,1.3982019397997965,85.81,3.224681918895237,623.2679410823022,-0.0,4.508756514236651,8.207230366510681e-13,3.13888348798269,40.224891662597656,38.61359405517578,1291.8029424636854,0.0007630518043248046,1291.802179411881,12.0,8.000000149011612,0.9999999403953552,2.000000014901161,85.80999900296331,3.2246815216639986,7.263348586857319,0.49948626851422756,0.0005137324333190918,89.72,223.23000127717853,0.0,20.000000059604645,0.009999117851258177,13.000000029802322,0.12824024596070102,10.443487426531613,12.000000067055225,summer,2025-06-10
9,4.0611338077145565e-12,-4.0611338077145565e-12,0.49948626851643574,0.4994862685147475,0.0005137314877446397,0.0,-6.091700711571835e-12,8.820499352947426,8.820499352941335,-0.0,1.3982019398016161,65.21,1.6098508575797457,575.1847628053043,-0.0,2.250896591859296,2.6651190613126773e-12,2.887178296985805,32.061798095703125,31.287288665771484,1869.2386018608488,0.0007630518069899237,1869.2378388090417,11.0,9.000000081956387,0.9999999403953552,2.000000014901161,65.21000573605299,1.6098506272358397,8.820499330759048,0.4994862685147475,0.0005137324333190918,89.72,223.23000127717853,0.0,20.000000059604645,0.009999117851258177,13.000000029802322,0.12824024596070102,10.443487426531613,11.000000009313226,summer,2025-06-10
