hour,action,delta,soc,soc_before,dod_morning,dod_evening,p_battery,p_pv_raw,p_pv_grid,p_bess_em,p_reserve,price_em,price_as,revenue_pv,revenue_energy,revenue_reserve,degradation_cost,reward,q1_eval,q2_eval,cumulative_revenue,cumulative_degradation,cumulative_profit,time_to_peak_hour_raw,k,weekday,season,price_em_raw,price_as_raw,p_res_total_raw,soc_raw,dod_raw,price_em_max_morning,price_em_max_evening,k_em_max_morning,k_em_max_evening,price_em_min,k_em_min,price_as_min,price_as_max,time_to_peak_hour,season_name,eval_date
0,1.0976711076540746e-12,-1.0976711076540746e-12,0.5000000000004563,0.5,4.563016631209393e-13,0.0,-1.646506661481112e-12,0.0,0.0,-1.646506661481112e-12,1.4000000000000001,101.12,0.0,0.0,-1.6649475360897004e-10,0.0,7.203466643979864e-13,-8.360755013668402e-13,3.476243495941162,3.683749198913574,-1.6649475360897004e-10,7.203466643979864e-13,-1.6721510027336803e-10,8.0,0.0,0.9999999403953552,3.0,101.11999867379666,0.0,0.0,0.5,0.0,280.06,214.64999915987252,8.000000059604645,19.00000000745058,90.57999830067158,3.0000000596046448,0.0,3.4835897372335056,7.999999992549419,fall,2025-10-07
1,3.7418342202499844e-08,-3.7418342202499844e-08,0.5000000155557957,0.5000000000004563,1.555579565160059e-08,0.0,-5.6127513303749765e-08,0.0,0.0,-5.6127513303749765e-08,1.400000000001597,94.35999999999999,0.0,0.0,-5.296192155341827e-06,0.0,2.455578707039052e-08,-2.6603739712061087e-08,4.52750825881958,4.559661865234375,-5.2963586500954356e-06,2.4556507417054917e-08,-5.3209151575124905e-06,7.0,0.9999997615814209,0.9999999403953552,3.0,94.35999793007971,0.0,0.0,0.5000000000004563,0.0,280.06,214.64999915987252,8.000000059604645,19.00000000745058,90.57999830067158,3.0000000596046448,0.0,3.4835897372335056,6.999999895691872,fall,2025-10-07
2,0.018874645233154297,-0.018874645233154297,0.507846475217007,0.5000000155557957,0.007846475217006987,0.0,-0.028311967849731445,0.0,0.0,-0.028311967849731445,1.4000000544452849,90.95,0.0,0.0,-2.574973475933075,0.0,0.012386485934257506,-0.012936799809336662,-11.437156677246094,-10.892824172973633,-2.574978772291725,0.012386510490764923,-2.58736528278249,6.0,2.0000002086162567,0.9999999403953552,3.0,90.9499979992211,0.0,0.0,0.5000000155557957,2.9802322387695312e-08,280.06,214.64999915987252,8.000000059604645,19.00000000745058,90.57999830067158,3.0000000596046448,0.0,3.4835897372335056,5.999999955296516,fall,2025-10-07
3,8.250161257354377e-16,-8.250161257354377e-16,0.5078464752170073,0.507846475217007,0.00784647521700732,0.0,-1.2375241886031566e-15,0.0,0.0,-1.2375241886031566e-15,1.4274626632595244,90.58000000000001,0.0,0.0,-1.1209494100367394e-13,0.0,5.414168325138809e-16,-5.631817891809391e-16,-18.63458251953125,-23.432804107666016,-2.574978772291837,0.012386510490765465,-2.5873652827826024,5.0,2.9999999701976776,0.9999999403953552,3.0,90.58000237315893,0.0,0.0,0.507846475217007,0.007846474647521973,280.06,214.64999915987252,8.000000059604645,19.00000000745058,90.57999830067158,3.0000000596046448,0.0,3.4835897372335056,4.999999701976776,fall,2025-10-07
4,6.874713290017098e-05,-6.874713290017098e-05,0.5078750543822558,0.5078464752170073,0.007875054382255775,0.0,-0.00010312069935025647,0.0,0.0,-0.00010312069935025647,1.4274626632595258,94.64000000000001,0.25222887271838457,0.0,-0.009759342986508273,0.36004729840153316,4.51153059657372e-05,0.0017512142005452957,-11.301154136657715,-14.774008750915527,-2.2246908168768122,0.012431625796731202,-2.2371224426735434,4.0,3.9999997317790985,0.9999999403953552,3.0,94.63999807432293,0.25222898113915615,0.0,0.5078464752170073,0.007846474647521973,280.06,214.64999915987252,8.000000059604645,19.00000000745058,90.57999830067158,3.0000000596046448,0.0,3.4835897372335056,3.999999761581421,fall,2025-10-07
5,1.0,-1.0,0.8882362516314677,0.5078750543822558,0.3882362516314677,0.0,-1.372437309662105,0.0,0.0,-1.372437309662105,1.4275626903378953,97.82,0.39764653913255466,0.0,-134.2518176311471,0.5676653632076228,12.008826459543416,-0.7284648936374145,10.595552444458008,17.321931838989258,-135.9088430848163,12.021258085340147,-147.93010117015646,3.0,5.000000178813934,0.9999999403953552,3.0,97.82000245124101,0.3976463073909512,0.0,0.5078750543822558,0.007875055074691772,280.06,214.64999915987252,8.000000059604645,19.00000000745058,90.57999830067158,3.0000000596046448,0.0,3.4835897372335056,2.9999998211860657,fall,2025-10-07
6,0.9995712637901306,-0.9995712637901306,0.8996470875489441,0.8882362516314677,0.39964708754894407,0.0,-0.04117311928986317,0.0,0.0,-0.04117311928986317,1.5,131.94,0.24450758069639233,0.0,-5.4323813591045464,0.3667613710445885,0.36026479378630266,-0.0271294239092313,45.192588806152344,52.66060256958008,-140.97446307287626,12.38152287912645,-153.3559859520027,2.0,5.999999940395355,0.9999999403953552,3.0,131.94000040076673,0.24450764449864676,0.0,0.8882362516314677,0.38823625445365906,280.06,214.64999915987252,8.000000059604645,19.00000000745058,90.57999830067158,3.0000000596046448,0.0,3.4835897372335056,1.9999998807907104,fall,2025-10-07
7,1.0,1.0,0.4578208725268528,0.8996470875489441,0.4418262150220913,0.0,1.5,0.8973429513556244,0.8973429513556244,1.5,0.0,227.30000000000004,0.8030143702871015,203.96605284313344,340.95000000000005,0.0,16.406249999999996,2.642549014215667,68.4273681640625,72.69668579101562,403.9415897702572,28.787772879126447,375.15381689113076,0.0,7.000000044703484,0.9999999403953552,3.0,227.30000022880736,0.8030139514224117,0.8973428606987,0.8996470875489441,0.3996470868587494,280.06,214.64999915987252,8.000000059604645,19.00000000745058,90.57999830067158,3.0000000596046448,0.0,3.4835897372335056,0.0,fall,2025-10-07
8,1.0,1.0,0.1,0.4578208725268528,0.7996470875489441,0.0,1.2523730538439848,2.709660660396611,2.709660660396611,1.2523730538439848,0.24762694615601522,280.06000000000006,2.4000349368356466,758.8675645506751,350.7395974595465,0.594313322076356,27.395660552837164,5.4140290738973045,70.4924087524414,70.14022827148438,1514.143065102555,56.18343343196361,1457.9596316705915,0.0,8.000000149011612,0.9999999403953552,3.0,280.0599968259037,2.4000344713850685,2.709660530090332,0.4578208725268528,0.4418262168765068,280.06,214.64999915987252,8.000000059604645,19.00000000745058,90.57999830067158,3.0000000596046448,0.0,3.4835897372335056,0.0,fall,2025-10-07
9,1.0,1.0,0.1,0.1,0.7996470875489441,0.0,0.0,5.01164537792852,5.01164537792852,0.0,0.0,202.15999999999997,2.599501647403757,1013.1542296020294,0.0,0.0,0.0,5.065771148010147,58.805782318115234,55.61661911010742,2527.2972947045846,56.18343343196361,2471.113861272621,0.0,9.000000081956387,0.9999999403953552,3.0,202.16000074323267,2.5995011541204294,5.011645406484604,0.1,0.7996470928192139,280.06,214.64999915987252,8.000000059604645,19.00000000745058,90.57999830067158,3.0000000596046448,0.0,3.4835897372335056,0.0,fall,2025-10-07
10,0.000367463770089671,-0.000367463770089671,0.10015275993870872,0.1,0.7996470875489441,0.0,-0.0005511956551345065,7.071863383046619,7.071312187391484,-0.0,0.0,145.77,1.9856589316554438,1030.7851775560569,-0.0,0.0,0.012057404956067328,5.153865600755504,44.974788665771484,44.86545181274414,3558.0824722606417,56.195490836919674,3501.886981423722,9.0,10.000000014901161,0.9999999403953552,3.0,145.77000159144401,1.9856584326333282,7.071863394230604,0.1,0.7996470928192139,280.06,214.64999915987252,8.000000059604645,19.00000000745058,90.57999830067158,3.0000000596046448,0.0,3.4835897372335056,8.999999932944775,fall,2025-10-07
11,2.2388052457245067e-05,-2.2388052457245067e-05,0.10016206697194452,0.10015275993870872,0.7996470875489441,0.0,-3.35820786858676e-05,9.047296222565365,9.047262640486679,-0.0,0.000534659785480486,133.48,1.2572837175809257,1207.6286172521618,-0.0,0.0006722190427299258,0.0007346079712533536,6.038142774316167,36.26774215698242,35.62843704223633,4765.711761731847,56.19622544489093,4709.515536286956,8.0,10.999999990686774,0.9999999403953552,3.0,133.48000119410457,1.2572837314564695,9.047296196222305,0.10015275993870872,0.7996470928192139,280.06,214.64999915987252,8.000000059604645,19.00000000745058,90.57999830067158,3.0000000596046448,0.0,3.4835897372335056,7.999999992549419,fall,2025-10-07
12,3.251655289204791e-05,-3.251655289204791e-05,0.10017558456750393,0.10016206697194452,0.7996470875489441,1.3517595559411899e-05,-4.877482933807187e-05,8.149873070714781,8.149824295885443,-0.0,0.0005672344018057968,115.16,1.1350299272327287,938.5337659141676,-0.0,0.0006438280218055339,2.133898783540644e-05,4.692671942016008,27.44728660583496,26.007495880126953,5704.246171474037,56.19624678387876,5648.049924690158,7.0,12.000000009313226,0.9999999403953552,3.0,115.16000316783786,1.1350304151262027,8.149873092770576,0.10016206697194452,0.0,280.06,214.64999915987252,8.000000059604645,19.00000000745058,90.57999830067158,3.0000000596046448,0.0,3.4835897372335056,6.999999895691872,fall,2025-10-07
13,0.00025730629567988217,-0.00025730629567988217,0.10028255047042228,0.10017558456750393,0.7996470875489441,0.00012048349847776363,-0.00038595944351982325,9.327721084335892,9.327335124892372,-0.0,0.0006145459862637384,110.93,0.6563098218692658,1034.6812854043108,-0.0,0.0004033325667752264,0.00016885725653992265,5.173407599398105,20.552871704101562,19.460941314697266,6738.927860210914,56.1964156411353,6682.731444569779,6.0,12.999999985098839,0.9999999403953552,3.0,110.92999825000763,0.6563095670908463,9.327721036970615,0.10017558456750393,1.3530254364013672e-05,280.06,214.64999915987252,8.000000059604645,19.00000000745058,90.57999830067158,3.0000000596046448,0.0,3.4835897372335056,5.999999955296516,fall,2025-10-07
14,0.007485684473067522,-0.007485684473067522,0.10339445644422607,0.10028255047042228,0.7996470875489441,0.0032323894722815494,-0.011228526709601283,7.758680293349703,7.7474517666401015,-0.0,0.0009889266464779695,110.4,1.4760536582040138,855.3186750370672,-0.0,0.0014597087942292343,0.0049124804354505605,4.27657611132713,13.776015281677246,12.79757022857666,7594.247994956775,56.201328121570754,7538.046666835205,5.0,13.999999918043613,0.9999999403953552,3.0,110.40000071570279,1.4760532498740473,7.758680284023285,0.10028255047042228,0.00012049078941345215,280.06,214.64999915987252,8.000000059604645,19.00000000745058,90.57999830067158,3.0000000596046448,0.0,3.4835897372335056,4.999999701976776,fall,2025-10-07
15,0.0004875363374594599,-0.0004875363374594599,0.10359713226451278,0.10339445644422607,0.7996470875489441,0.0034350652925682623,-0.0007313045061891899,5.77719649549795,5.776465190991761,-0.0,0.01188059755479122,118.4,2.271346736469123,683.9334786134245,-0.0,0.026984956483378078,0.0003199457214577705,3.4198007181209324,8.579483985900879,8.531654357910156,8278.208458526684,56.20164806729221,8222.006810459392,4.0,14.999999850988388,0.9999999403953552,3.0,118.40000027239324,2.2713468764940625,5.777196474373341,0.10339445644422607,0.0032323896884918213,280.06,214.64999915987252,8.000000059604645,19.00000000745058,90.57999830067158,3.0000000596046448,0.0,3.4835897372335056,3.999999761581421,fall,2025-10-07
16,0.12375441938638687,-0.12375441938638687,0.15504361232371075,0.10359713226451278,0.7996470875489441,0.05488154535176623,-0.1856316290795803,4.189453766969578,4.003822137889998,-0.0,0.012589962925794715,126.93,3.4835895839217668,508.2051439623774,-0.0,0.04385826371025968,0.08121383772231637,2.5408389419418267,4.823214054107666,5.018230438232422,8786.457460752772,56.28286190501453,8730.174598847758,3.0,15.999999955296516,0.9999999403953552,3.0,126.93000055857004,3.483589646187246,4.189453795552254,0.10359713226451278,0.003435075283050537,280.06,214.64999915987252,8.000000059604645,19.00000000745058,90.57999830067158,3.0000000596046448,0.0,3.4835897372335056,2.9999998211860657,fall,2025-10-07
17,0.9256162047386169,-0.9256162047386169,0.5398354917221929,0.15504361232371075,0.7996470875489441,0.4396734247502484,-1.3884243071079254,1.8788559968746705,0.4904316897667451,-0.0,0.1926526431329876,150.67,1.1594806853023691,73.89334269715548,-0.0,0.22337701868514923,15.185890858992932,0.2946541442842385,2.8008499145507812,2.3273568153381348,8860.574180468613,71.46875276400746,8789.105427704606,2.0,17.000000059604645,0.9999999403953552,3.0,150.67000092051924,1.1594804712893882,1.878856122493744,0.15504361232371075,0.054881542921066284,280.06,214.64999915987252,8.000000059604645,19.00000000745058,90.57999830067158,3.0000000596046448,0.0,3.4835897372335056,1.9999998807907104,fall,2025-10-07
18,1.0,1.0,0.1,0.5398354917221929,0.7996470875489441,0.43983549172219294,1.5,0.0,0.0,1.5,0.0,204.46,0.6524491758582687,0.0,306.69,0.0,16.406249999999996,1.45141875,2.1552629470825195,2.0785157680511475,9167.264180468612,87.87500276400746,9079.389177704605,0.0,17.999999821186066,0.9999999403953552,3.0,204.45999941758814,0.6524494046896482,0.0,0.5398354917221929,0.43967342376708984,280.06,214.64999915987252,8.000000059604645,19.00000000745058,90.57999830067158,3.0000000596046448,0.0,3.4835897372335056,0.0,fall,2025-10-07
19,1.0,1.0,0.1,0.1,0.7996470875489441,0.43983549172219294,0.0,0.0,0.0,0.0,0.0,214.65,0.012868820036653121,0.0,0.0,0.0,0.0,0.0,0.3918255567550659,0.2802787125110626,9167.264180468612,87.87500276400746,9079.389177704605,0.0,19.0000002682209,0.9999999403953552,3.0,214.64999873310327,0.01286855712147798,0.0,0.1,0.43983549252152443,280.06,214.64999915987252,8.000000059604645,19.00000000745058,90.57999830067158,3.0000000596046448,0.0,3.4835897372335056,0.0,fall,2025-10-07
20,0.9999985694885254,0.9999985694885254,0.1,0.1,0.7996470875489441,0.43983549172219294,0.0,0.0,0.0,0.0,0.0,146.42,0.9960466708368851,0.0,0.0,0.0,0.0,0.0,-0.32530075311660767,-0.2628055512905121,9167.264180468612,87.87500276400746,9079.389177704605,0.0,20.000000029802322,0.9999999403953552,3.0,146.42000055693092,0.9960463555970336,0.0,0.1,0.43983549252152443,280.06,214.64999915987252,8.000000059604645,19.00000000745058,90.57999830067158,3.0000000596046448,0.0,3.4835897372335056,0.0,fall,2025-10-07
21,5.2994483801249714e-11,-5.2994483801249714e-11,0.10000000002203056,0.1,0.7996470875489441,0.43983549172219294,-7.949172570187457e-11,0.0,0.0,-7.949172570187457e-11,0.0,123.23999999999998,0.14670454841783578,0.0,-9.79656027549902e-09,0.0,8.69440749864253e-10,-5.3330005126816366e-11,-0.331019788980484,-0.45143890380859375,9167.264180458817,87.8750027648769,9079.38917769394,21.0,20.999999791383743,0.9999999403953552,3.0,123.2399972882867,0.14670438433156544,0.0,0.1,0.43983549252152443,280.06,214.64999915987252,8.000000059604645,19.00000000745058,90.57999830067158,3.0000000596046448,0.0,3.4835897372335056,21.0,fall,2025-10-07
22,1.3002365026673623e-12,-1.3002365026673623e-12,0.10000000002257109,0.10000000002203056,0.7996470875489441,0.43983549172219294,-1.9503547540010435e-12,0.0,0.0,-1.9503547540010435e-12,7.710695276719193e-11,107.41999999999999,0.2136224126084271,0.0,-2.0950710767479207e-10,1.6471773279011573e-11,2.133200512188641e-11,-1.0718366975883346e-12,-0.0727672353386879,-0.3271811306476593,9167.264180458624,87.87500276489823,9079.389177693725,21.0,22.00000023841858,0.9999999403953552,3.0,107.42000191926957,0.21362229793660917,0.0,0.10000000002203056,0.43983549252152443,280.06,214.64999915987252,8.000000059604645,19.00000000745058,90.57999830067158,3.0000000596046448,0.0,3.4835897372335056,21.0,fall,2025-10-07
23,1.6646233003125843e-13,-1.6646233003125843e-13,0.10000000002264028,0.10000000002257109,0.7996470875489441,0.43983549172219294,-2.4969349504688765e-13,0.0,0.0,-2.4969349504688765e-13,7.89987936178349e-11,97.47999999999999,0.19303230054978363,0.0,-2.4340121897170605e-11,1.5249318872708236e-11,2.7310226020753332e-12,-5.910912813268852e-14,-0.23487506806850433,0.026528209447860718,9167.264180458613,87.87500276490096,9079.389177693713,21.0,23.0,0.9999999403953552,3.0,97.4800031889975,0.1930324041746218,0.0,0.10000000002257109,0.43983549252152443,280.06,214.64999915987252,8.000000059604645,19.00000000745058,90.57999830067158,3.0000000596046448,0.0,3.4835897372335056,21.0,fall,2025-10-07
