hour,action,delta,is_discharge_slot,soc,soc_before,dod_morning,dod_evening,p_battery,p_pv_raw,p_pv_grid,p_bess_em,p_reserve,price_em,price_as,revenue_pv,revenue_energy,revenue_reserve,degradation_cost,reward,cumulative_revenue,cumulative_degradation,cumulative_profit,k,weekday,season,price_em_raw,price_as_raw,p_res_total_raw,soc_raw,dod_raw,price_em_max_morning,price_em_max_evening,k_em_max_morning,k_em_max_evening,price_em_min,k_em_min,price_as_min,price_as_max,max_future_price_delta,avg_future_price_delta,peak_hour_price_delta,time_to_peak_hour
0,0.9998215436935425,0.9998215436935425,False,0.15652146995704175,0.4912027438288323,0.33468127387179053,0.0,19.478450139338207,0.5215498606617941,0.5215498606617941,19.478450139338207,0.0,83.14999999999999,1.1644882379556112,43.366870914028176,1619.6331290859719,0.0,340.87287743841864,0.22018925057158742,1663.0,340.87287743841864,1322.1271225615815,0.0,0.0,0.0,83.14999998835846,1.1644884185864801,0.5215495824813843,0.4912027438288323,0.0,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,47.45000132977961,19.64086975255981,47.44999998807907,14.000000104308128
1,0.9996787309646606,0.9996787309646606,False,0.1,0.15652146995704175,0.39120274382883224,0.0,3.390198681534761,0.0,0.0,3.390198681534761,0.0010895158877435307,82.73,1.056661682411641,0.0,280.4711369233708,0.0011512496909572918,59.328476926858315,0.03682505021868779,1943.4722881730618,400.201354365277,1543.2709338077848,0.9999997615814209,0.0,0.0,82.73000000234693,1.0566615436229732,0.0,0.15652146995704175,0.33468127250671387,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,47.869999204874034,20.97272686067967,47.87000053167343,13.562499895691872
2,0.945000171661377,0.945000171661377,False,0.1,0.1,0.39120274382883224,0.0,0.0,0.6800729650057269,0.6800729650057269,0.0,0.0,77.46999999999998,1.3101646303141927,52.68525259899365,0.0,0.0,0.0,0.008776875433165608,1996.1575407720554,400.201354365277,1595.9561864067784,2.0000002086162567,0.0,0.0,77.47000010788439,1.3101647620472403,0.6800729036331177,0.1,0.39120274037122726,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,53.12999953210351,27.481904630586484,53.1299984049797,13.125
3,-0.6509307622909546,-0.6509307622909546,False,0.310467613140742,0.1,0.39120274382883224,0.0,-13.018615245819092,1.5991813492284268,0.0,-11.419433896590665,0.0,75.21999999999998,1.453175043889333,0.0,-858.9698177015496,0.0,227.8257668018341,-0.1811123308487457,1137.1877230705059,628.0271211671111,509.16060190339476,2.9999999701976776,0.0,0.0,75.2200001773238,1.4531750926391265,1.5991812944412231,0.1,0.39120274037122726,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,55.380001300573326,31.218500217832627,55.3800002002716,12.687499947845936
4,-0.9369731545448303,-0.9369731545448303,False,0.6134222664435705,0.310467613140742,0.39120274382883224,0.0,-18.739463090896606,0.0,0.0,-18.739463090896606,12.62805678844452,78.69000000000001,1.3314249365946393,0.0,-1474.6083506226541,16.81330970886825,327.9406040906906,-0.2976853939929789,-320.6073178432801,955.9677252578017,-1276.5750431010817,3.9999997317790985,0.0,0.0,78.69000001959502,1.3314249732269823,0.0,0.310467613140742,0.39120274037122726,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,51.90999871551989,29.208947499860074,51.91000017642975,12.250000052154064
5,-0.9717507362365723,-0.9717507362365723,False,0.8835499263088651,0.6134222664435705,0.39120274382883224,0.0,-16.70892741434812,0.0,0.0,-16.70892741434812,20.0,82.09999999999998,1.5906967521436028,0.0,-1371.8029407179804,31.813935042872057,292.4062297510921,-0.2721252467593972,-1660.5963235183885,1248.3739550088937,-2908.970278527282,5.000000178813934,0.0,0.0,82.09999999927238,1.590696664489913,0.0,0.6134222664435705,0.39120274037122726,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,48.50000002026556,27.232222611792366,48.50000134706497,11.8125
6,-0.9789073467254639,-0.9789073467254639,False,0.8991699313595796,0.8835499263088651,0.39120274382883224,0.0,-0.9661858794256355,1.658173456282761,0.6919875768571255,-0.0,19.308012423142873,94.3,1.9500643327920735,65.25442849762693,-0.0,37.651866363477176,16.90825288994862,0.014325480897782147,-1557.6900286572843,1265.2822078988424,-2822.9722365561265,5.999999940395355,0.0,0.0,94.300000179708,1.9500644917119758,1.6581732034683228,0.8835499263088651,0.39120274037122726,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,36.30000252842902,15.916470671528941,36.30000342607498,11.375000026077032
7,-0.9784806966781616,-0.9784806966781616,False,0.8999577713169018,0.8991699313595796,0.39120274382883224,0.0,-0.048732368494158136,2.437657425313785,2.3889250568196267,-0.0,17.611074943180373,111.39999999999999,2.126502353117476,266.1262513297064,-0.0,37.449992307601285,0.8528164486477674,0.050449726690621255,-1254.1137850199766,1266.1350243474901,-2520.2488093674665,7.000000044703484,0.0,0.0,111.40000039100646,2.1265024027511403,2.4376577138900757,0.8991699313595796,0.39120274037122726,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,19.199998694658262,-1.2575001440569906,19.199999163150785,10.937500013038516
8,-0.9733954071998596,-0.9733954071998596,False,0.8999976433668964,0.8999577713169018,0.39120274382883224,0.0,-0.0024663123707944663,4.12262341273602,4.120157100365226,-0.0,15.879842899634774,121.11,2.3566789082459483,498.99222642523256,-0.0,37.42369082782845,0.04316046648890316,0.08939145046841586,-717.6978677669156,1266.178184813979,-1983.8760525808946,8.000000149011612,0.0,0.0,121.10999883770943,2.3566787844787136,4.1226232051849365,0.8999577713169018,0.39120274037122726,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,9.489999850988369,-11.698666590526699,9.489999997615813,10.5
9,-0.9703482985496521,-0.9703482985496521,False,0.8999998615191711,0.8999976433668964,0.39120274382883224,0.0,-0.00013720529534663747,9.049034363523349,9.048897158228002,-0.0,10.951102841771998,117.83,2.4346604782348846,1066.2315521540054,-0.0,26.662217281948017,0.0024010926685661556,0.18214456089023098,375.1959016690377,1266.1805859066476,-890.9846842376098,9.000000081956387,0.0,0.0,117.83000042796134,2.4346604367992475,9.049034342169762,0.8999976433668964,0.39120274037122726,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,12.770002571344364,-9.01999927606434,12.769997541904448,14.000000104308128
