episode,return,episode_profit,episode_revenue,episode_degradation,rev_pv,rev_energy,rev_reserve,deg_cost
1,0.9738695877508698,12660.07170593664,12853.062761388832,192.99105545219138,9811.05578662392,784.314732649349,2257.6922421155637,192.99105545219138
2,0.5642458379293146,7334.8734517637595,7581.544490897743,246.67103913398358,4438.282201569861,699.6022926402504,2443.659996687633,246.67103913398358
3,0.9051007947356232,11766.119584801334,11886.672623595923,120.553038794589,10126.073907823024,-595.7389545047763,2356.3376702776754,120.553038794589
4,0.7845627740060281,10199.07560651413,10220.724073826588,21.648467312458674,9491.092893387073,-1540.8894672112147,2270.5206476507346,21.648467312458674
5,0.47302320540991943,6149.017728557051,6279.2413447052495,130.2236161481989,4510.059099307203,-493.52051800529176,2262.7027634033384,130.2236161481989
6,0.860660851713866,11188.238078346094,11302.376078406505,114.1380000604112,9466.941109706533,-742.5943189805596,2578.029287680533,114.1380000604112
7,0.903158999635954,11740.864447051774,11883.4934686825,142.6290216307269,9547.123391393696,12.684215718159862,2323.6858615706474,142.6290216307269
8,0.9886586010416575,12852.377417156607,12931.5620268426,79.18460968599119,11878.74388594062,-1725.254225551709,2778.072366453691,79.18460968599119
9,1.025740308067881,13334.55828313168,13356.190953001591,21.63266986991004,12689.331055609315,-1732.7900198228851,2399.649917215162,21.63266986991004
10,0.9111490336202502,11844.809380717377,11975.523557686838,130.71417696946162,10088.312947678587,-730.3706381477555,2617.581248156002,130.71417696946162
11,0.02410135910563202,313.056768060625,481.69589781105645,168.6391297504314,-2271.551470348683,514.5381412732138,2238.7092268865263,168.6391297504314
12,0.8340865752351688,10842.88356992874,10864.533053916655,21.649483987916476,8967.561796238462,-859.6451955194218,2756.6164531976146,21.649483987916476
13,0.8833384658626084,11483.00346254977,11589.358852395364,106.35538984559462,8859.565189554702,54.98001898715276,2674.813643853508,106.35538984559462
14,-0.043753525752309556,-568.9401224019996,-435.12559427344,133.81452812855963,-2033.7271059269187,-204.45962805658087,1803.0611397100604,133.81452812855963
15,0.782364305078446,10170.65541991497,10192.27200802348,21.616588108509102,9529.528051123893,-1604.4726521536645,2267.2166090532533,21.616588108509102
16,0.9995783422440795,12994.275158264545,13015.917175275541,21.64201701099516,12072.36093370968,-1878.7311867653102,2822.2874283311744,21.64201701099516
17,1.0014507061678262,13018.610325402073,13539.429718967316,520.8193935652441,10961.742906370213,359.59142292250067,2218.095389674599,520.8193935652441
18,0.743261160874452,9662.166157684138,9683.815457374541,21.649299690402795,7789.231051798271,-599.9780383704393,2494.5624439467088,21.649299690402795
19,0.8076718583583978,10499.297831903645,10693.520181382642,194.22234947899753,6882.668884005836,1325.6706870384915,2485.1806103383155,194.22234947899753
20,0.8897275062159993,11566.437404611052,11587.95323295426,21.515828343209247,10717.166866586256,-1511.0605176195838,2381.846883987587,21.515828343209247
21,0.4328248036351233,5626.715550665334,5648.631011297712,21.915460632377016,4646.81918392427,-1517.2226251072475,2519.034452480689,21.915460632377016
22,0.8487297526257943,11033.233462479622,11186.437054489637,153.20359201001557,7944.788000720038,533.3868793462531,2708.2621744233475,153.20359201001557
23,0.7745461087544289,10068.927732478805,10121.634602900662,52.706870421856486,9078.06741412197,-1193.112104827552,2236.6792936062398,52.706870421856486
24,1.0279650569738878,13363.439589614041,13385.086642939912,21.6470533258706,12689.509870601174,-1701.4959911104054,2397.072763449145,21.6470533258706
25,0.5206333162626301,6768.141075344307,6825.320986514547,57.17991117024056,5203.35478609863,-853.6154471195355,2475.5816475354536,57.17991117024056
26,0.9990671209825346,12987.676926820728,13062.193626434824,74.51669961409645,9829.93049476826,810.7975273759922,2421.465604290572,74.51669961409645
27,0.8720124699836764,11335.996037502622,11357.645080224811,21.6490427221895,9943.744826399874,-1340.7424080231565,2754.6426618480914,21.6490427221895
28,0.9162193498022617,11910.529076033794,12034.86303680524,124.33396077144546,9456.036352732248,-10.903326859650122,2589.730010932639,124.33396077144546
29,0.4329337462349678,5628.138606834944,5649.783523278086,21.644916443142005,4702.522060361843,-1349.185126868774,2296.4465897850187,21.644916443142005
30,0.862763406610031,11215.651076640388,11345.047403957635,129.39632731724737,10099.222469875234,-1009.5912687308326,2255.4162028132346,129.39632731724737
31,0.8947439460573324,11631.670896656755,11653.320380445732,21.649483788976873,11282.760971344542,-1922.150005160812,2292.7094142620026,21.649483788976873
32,0.8125551044936572,10563.121887747704,10584.771341447984,21.649453700280223,8941.891216865017,-1104.8478310167854,2747.7279555997543,21.649453700280223
33,0.5400238568462599,7020.1641477482135,7150.460910090027,130.29676234181323,4722.487052073586,-301.91613264739004,2729.8899906638303,130.29676234181323
34,0.5113640468341989,6647.403475181964,7327.012637043298,679.609161861335,5088.486724809939,-133.3095235932284,2371.83543582659,679.609161861335
35,0.20767821207703435,2699.5265853056985,2834.709734593936,135.18314928823747,248.10395713994234,397.93122744834074,2188.674550005653,135.18314928823747
36,0.8724614860137385,11341.663719216362,11405.581753692868,63.91803447650601,7768.875990816784,1182.5326860735154,2454.1730768025673,63.91803447650601
37,0.7798063957790332,10137.169559810536,10350.31238251568,213.14282270514445,9055.758845671196,-796.863692916804,2091.4172297612877,213.14282270514445
38,-0.08185830507662639,-1064.1597745963227,-1042.5116810419736,21.64809355434912,-2645.592632590728,-512.7288353404498,2115.8097868892046,21.64809355434912
39,0.8113736209787863,10547.750674498182,10574.969589081953,27.21891458377065,9693.421758585857,-1480.2823708145543,2361.830201310649,27.21891458377065
40,0.3189546286874243,4146.244573389422,4237.0979356260705,90.85336223664841,256.7086604666555,1893.0014801662153,2087.3877949932,90.85336223664841
