hour,action,delta,soc,soc_before,dod_morning,dod_evening,p_battery,p_pv_raw,p_pv_grid,p_bess_em,p_reserve,price_em,price_as,revenue_pv,revenue_energy,revenue_reserve,degradation_cost,reward,cumulative_revenue,cumulative_degradation,cumulative_profit,k,weekday,season,price_em_raw,price_as_raw,p_res_total_raw,soc_raw,dod_raw,price_em_max_morning,price_em_max_evening,k_em_max_morning,k_em_max_evening,price_em_min,k_em_min,price_as_min,price_as_max,max_future_price_delta,avg_future_price_delta,peak_hour_price_delta,time_to_peak_hour
0,-0.21180033683776855,-0.21180033683776855,0.5684821089108785,0.5,0.06848210891087847,0.0,-4.236006736755371,0.5215498606617941,0.0,-3.714456876093577,15.763993263244629,83.14999999999999,1.1644882379556112,0.0,-308.8570892471809,18.356984738259865,3.7065058946609497,-0.14167729889213862,-290.500104508921,3.7065058946609497,-294.206610403582,0.0,0.0,0.0,83.14999998835846,1.1644884185864801,0.5215495824813843,0.5,0.0,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,47.45000132977961,19.64086975255981,47.44999998807907,7.999999992549419
1,-0.3177054226398468,-0.3177054226398468,0.6712068622310956,0.5684821089108785,0.1712068622310956,0.0,-6.354108452796936,0.0,0.0,-6.354108452796936,13.645891547203064,82.73,1.056661682411641,0.0,-525.6753922998905,14.419090720274381,27.799224480986595,-0.2535888118533774,-801.7564060885372,31.505730375647545,-833.2621364641848,0.9999997615814209,0.0,0.0,82.73000000234693,1.0566615436229732,0.0,0.5684821089108785,0.06848210096359253,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,47.869999204874034,20.97272686067967,47.87000053167343,6.999999895691872
2,-0.39122748374938965,-0.39122748374938965,0.7977037486433982,0.6712068622310956,0.2977037486433982,0.0,-7.824549674987793,0.6800729650057269,0.0,-7.144476709982066,12.175450325012207,77.46999999999998,1.3101646303141927,0.0,-553.4826107223106,15.951844373978435,34.232404828071594,-0.2556660385305231,-1339.2871724368692,65.73813520371914,-1405.0253076405884,2.0000002086162567,0.0,0.0,77.47000010788439,1.3101647620472403,0.6800729036331177,0.6712068622310956,0.17120686173439026,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,53.12999953210351,27.481904630586484,53.1299984049797,5.999999955296516
3,-0.4443361759185791,-0.4443361759185791,0.896931112459302,0.7977037486433982,0.396931112459302,0.0,-6.137775081396109,1.5991813492284268,0.0,-4.538593732167682,13.862224918603891,75.21999999999998,1.453175043889333,0.0,-341.39302053365293,20.144239304496015,107.4110639244319,-0.19894209661648052,-1660.535953666026,173.14919912815105,-1833.6851527941772,2.9999999701976776,0.0,0.0,75.2200001773238,1.4531750926391265,1.5991812944412231,0.7977037486433982,0.29770374298095703,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,55.380001300573326,31.218500217832627,55.3800002002716,4.999999701976776
4,-0.4820444583892822,-0.4820444583892822,0.8999079333737791,0.896931112459302,0.39990793337377906,0.0,-0.1841332524418804,0.0,0.0,-0.1841332524418804,19.81586674755812,78.69000000000001,1.3314249365946393,0.0,-14.48944563465157,26.38333912793539,3.222331917732907,0.0042519600074380414,-1648.6420601727423,176.37153104588396,-1825.0135912186263,3.9999997317790985,0.0,0.0,78.69000001959502,1.3314249732269823,0.0,0.896931112459302,0.39693111181259155,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,51.90999871551989,29.208947499860074,51.91000017642975,3.999999761581421
5,-0.48226866126060486,-0.48226866126060486,0.8999972380012133,0.8999079333737791,0.39999723800121334,0.0,-0.005523997573257944,0.0,0.0,-0.005523997573257944,19.994476002426744,82.09999999999998,1.5906967521436028,0.0,-0.4535202007644771,31.80514803787343,0.09666995753201402,0.015325189575623954,-1617.290432335633,176.46820100341597,-1793.758633339049,5.000000178813934,0.0,0.0,82.09999999927238,1.590696664489913,0.0,0.8999079333737791,0.3999079316854477,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,48.50000002026556,27.232222611792366,48.50000134706497,2.9999998211860657
6,-0.45591065287590027,-0.45591065287590027,0.8999999171400365,0.8999972380012133,0.39999991714003647,0.0,-0.00016571992720093576,1.658173456282761,1.65800773635556,-0.0,18.34199226364444,94.3,1.9500643327920735,156.3501295383293,-0.0,35.768064905681165,0.0029000987260163757,0.0941995608351685,-1425.1722378916227,176.471101102142,-1601.6433389937647,5.999999940395355,0.0,0.0,94.300000179708,1.9500644917119758,1.6581732034683228,0.8999972380012133,0.3999972343444824,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,36.30000252842902,15.916470671528941,36.30000342607498,1.9999998807907104
7,-0.4056151807308197,-0.4056151807308197,0.8999999975142011,0.8999999171400365,0.3999999975142011,0.0,-4.971597813430151e-06,2.437657425313785,2.4376524537159714,-0.0,17.56234754628403,111.39999999999999,2.126502353117476,271.5544833439592,-0.0,37.346373383439925,8.700296173502764e-05,0.15146278149718667,-1116.2713811642234,176.47118810510375,-1292.742569269327,7.000000044703484,0.0,0.0,111.40000039100646,2.1265024027511403,2.4376577138900757,0.8999999171400365,0.3999999165534973,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,19.199998694658262,-1.2575001440569906,19.199999163150785,0.0
8,-0.3473565876483917,-0.3473565876483917,0.899999999925426,0.8999999975142011,0.399999999925426,0.0,-1.4914793400322424e-07,4.12262341273602,4.122623263588086,-0.0,15.877376736411914,121.11,2.3566789082459483,499.29090345315313,-0.0,37.41787887297685,2.610088845056424e-06,0.2631634858618977,-579.5625988380935,176.4711907151926,-756.0337895532862,8.000000149011612,0.0,0.0,121.10999883770943,2.3566787844787136,4.1226232051849365,0.8999999975142011,0.3999999985098839,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,9.489999850988369,-11.698666590526699,9.489999997615813,0.0
9,-0.2832140028476715,-0.2832140028476715,0.8999999999977628,0.899999999925426,0.3999999999977628,0.0,-4.474440817858749e-09,9.049034363523349,9.049034359048909,-0.0,10.95096564095109,117.83,2.4346604782348846,1066.2477185267328,-0.0,26.66188324453177,7.830271431252811e-08,0.5358844793880672,513.3470029331711,176.4711907934953,336.87581213967576,9.000000081956387,0.0,0.0,117.83000042796134,2.4346604367992475,9.049034342169762,0.899999999925426,0.3999999985098839,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,12.770002571344364,-9.01999927606434,12.769997541904448,0.0
