hour,action,delta,soc,soc_before,dod_morning,dod_evening,p_battery,p_pv_raw,p_pv_grid,p_bess_em,p_reserve,price_em,price_as,revenue_pv,revenue_energy,revenue_reserve,degradation_cost,reward,reward_base,reward_with_shaping,reward_final,reward_shaping_component,q1_eval,q2_eval,cumulative_revenue,cumulative_degradation,cumulative_profit,future_price_trend,delta_to_morning_peak,delta_to_evening_peak,time_to_peak_hour_raw,k,weekday,season,price_em_raw,price_as_raw,p_res_total_raw,soc_raw,dod_raw,price_em_max_morning,price_em_max_evening,k_em_max_morning,k_em_max_evening,price_em_min,k_em_min,price_as_min,price_as_max,time_to_peak_hour
10,0.6758005619049072,0.6758005619049072,0.3124525489039773,0.44014637879791607,0.5875468810325863,0.0,7.4317808998272366,12.568219100172763,12.568219100172763,7.4317808998272366,0.0,110.90999999999998,2.6,1393.9411804001609,824.2588195998387,0.0,243.8553107755812,3.83156750183942,0.0,3.83156750183942,3.83156750183942,3.83156750183942,1.9766169786453247,4.749173641204834,5847.801020469694,991.2603534179339,4856.5406670517605,-7.348333333333315,0.0,19.69000000000004,7.0,10.000000014901161,0.0,0.0,110.91000095903873,2.6000001769798713,12.568219006061554,0.44014637879791607,0.45985304936766624,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,6.999999895691872
11,0.5287442803382874,0.5287442803382874,0.18471700657368653,0.3124525489039773,0.7152824233628771,0.0,7.434208563622921,12.56579143637708,12.56579143637708,7.434208563622921,0.0,103.08999999999999,2.6,1295.407439176113,766.3925608238868,0.0,325.24662465850275,2.974674386482439,0.0,2.974674386482439,2.974674386482439,2.974674386482439,1.1825944185256958,3.559011459350586,7909.601020469694,1316.5069780764366,6593.094042393257,5.056666666666672,0.0,27.510000000000034,6.0,10.999999990686774,0.0,0.0,103.09000102519987,2.6000001769798713,12.565791308879852,0.3124525489039773,0.5875468775629997,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,5.999999955296516
12,0.45797035098075867,0.45797035098075867,0.1,0.18471700657368653,0.7152824233628771,0.08471700657368653,5.083020394421192,13.308868062770184,13.308868062770184,5.083020394421192,0.0,95.48,2.6,1270.7307226332973,485.32678725933545,0.0,4.447642845118543,1.3676416495626345,0.0,1.3676416495626345,1.3676416495626345,1.3676416495626345,0.7693615555763245,2.972245216369629,9665.658530362327,1320.954620921555,8344.703909440772,18.420000000000016,0.0,35.12000000000002,5.0,12.000000009313226,0.0,0.0,95.4799999681115,2.6000001769798713,13.308868110179901,0.18471700657368653,0.0,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,4.999999701976776
13,0.19822192192077637,0.19822192192077637,0.1,0.1,0.7152824233628771,0.08471700657368653,0.0,11.04586342073516,11.04586342073516,0.0,0.0,92.90000000000002,2.6,1026.1607117862966,0.0,0.0,0.0,-0.12,0.0,-0.12,-0.12,-0.12,0.2746394872665405,1.8095341920852661,10691.819242148624,1320.954620921555,9370.864621227069,25.854999999999976,0.0,37.7,4.0,12.999999985098839,0.0,0.0,92.89999986708163,2.6000001769798713,11.045863404870033,0.1,0.08471700549125671,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,3.999999761581421
14,-0.2026861160993576,-0.2026861160993576,0.1655351775387923,0.1,0.7152824233628771,0.08471700657368653,-4.053722321987152,11.243643953487165,7.189921631500013,-0.0,0.0,100.00000000000001,2.6,718.9921631500014,-0.0,0.0,3.547007031738758,2.8603889356844987,0.0,2.8603889356844987,2.8603889356844987,2.8603889356844987,2.7636091709136963,0.8149481415748596,11410.811405298626,1324.5016279532938,10086.309777345332,21.120000000000005,0.0,30.60000000000001,3.0,13.999999918043613,0.0,0.0,99.9999994289875,2.6000001769798713,11.24364398419857,0.1,0.08471700549125671,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,2.9999998211860657
15,-0.5655733346939087,-0.5655733346939087,0.3484038890898228,0.1655351775387923,0.7152824233628771,0.24840388908982278,-11.311466693878174,8.653258762399501,0.0,-2.658207931478673,3.9321106523275375,107.97999999999998,2.49652186578708,0.0,-287.03329244106703,9.816600222229996,49.48766678571701,5.965656310484646,0.0,5.965656310484646,5.965656310484646,5.965656310484646,7.604398727416992,2.936427116394043,11133.594713079787,1373.9892947390108,9759.605418340776,12.275000000000034,0.0,22.620000000000047,2.0,14.999999850988388,0.0,0.0,107.98000108778474,2.496521866953386,8.653258830308914,0.1655351775387923,0.08471700549125671,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,1.9999998807907104
16,-0.7707309722900391,-0.7707309722900391,0.597606903463602,0.3484038890898228,0.7152824233628771,0.49760690346360203,-15.414619445800781,4.618962412388729,0.0,-10.795657033412052,4.585380554199219,121.92,2.533011253934726,0.0,-1316.2065055135974,11.614820547360072,337.1948003768921,1.9328117990545468,0.0,1.9328117990545468,1.9328117990545468,1.9328117990545468,8.721083641052246,6.015685558319092,9829.00302811355,1711.184095115903,8117.818932997647,-5.324999999999989,0.0,8.680000000000021,0.0,15.999999955296516,0.0,0.0,121.919999256134,2.5330111723077007,4.618962407112122,0.3484038890898228,0.2484038770198822,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,0.0
17,-0.8679983615875244,-0.8679983615875244,0.8782597070435683,0.597606903463602,0.7152824233628771,0.7782597070435683,-17.35996723175049,2.8033832329231165,0.0,-14.55658399882737,2.6400327682495117,130.60000000000002,2.3061502027393734,0.0,-1901.089870246855,6.0883121037372,759.4985663890839,-0.09391164845228187,0.0,-0.09391164845228187,-0.09391164845228187,-0.09391164845228187,9.036023139953613,7.8986592292785645,7934.001469970432,2470.6826615049868,5463.318808465445,-20.523333333333355,0.0,0.0,0.0,17.000000059604645,0.0,0.0,130.60000045537947,2.3061502367351627,2.803383469581604,0.597606903463602,0.4976069035474211,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,0.0
18,-0.9143006205558777,-0.9143006205558777,0.899347791211307,0.8782597070435683,0.7152824233628771,0.7993477912113071,-1.3044175773859057,0.0,0.0,-1.3044175773859057,18.695582422614095,130.00000000000006,2.37337697703348,0.0,-169.57428506016782,44.371664894064104,57.06826901063337,-0.10791145495834993,0.0,-0.10791145495834993,-0.10791145495834993,-0.10791145495834993,8.819772720336914,8.317848205566406,7808.798849804329,2527.75093051562,5281.047919288709,-23.908000000000072,0.0,0.0,0.0,17.999999821186066,0.0,0.0,130.0000001454353,2.373377056583209,0.0,0.8782597070435683,0.7782596945762634,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,0.0
19,-0.949204683303833,-0.949204683303833,0.8999804337363392,0.899347791211307,0.7152824233628771,0.7999804337363392,-0.039132527321579236,0.0,0.0,-0.039132527321579236,19.96086747267842,122.02999999999999,2.1333317953541364,0.0,-4.775342309052314,42.583153242315035,1.7120480703190917,-0.1151319446924053,0.0,-0.1151319446924053,-0.1151319446924053,-0.1151319446924053,8.213348388671875,8.218572616577148,7846.606660737591,2529.4629785859393,5317.143682151651,-19.922499999999985,0.0,0.0,21.0,19.0000002682209,0.0,0.0,122.03000013411044,2.1333319269862487,0.0,0.899347791211307,0.7993477880954742,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,21.0
20,-0.9661604762077332,-0.9661604762077332,0.8999994130120902,0.8999804337363392,0.7152824233628771,0.7999994130120902,-0.001173975819650508,1.538931207367632,1.5377572315479815,-0.0,18.46224276845202,114.19000000000001,1.9590646090221502,175.59649827046402,-0.0,36.16872641084947,0.05136144210970972,-0.11972100102150758,0.0,-0.11972100102150758,-0.11972100102150758,-0.11972100102150758,7.289061069488525,7.681087493896484,8058.371885418904,2529.514340028049,5528.857545390854,-16.110000000000014,0.0,0.0,21.0,20.000000029802322,0.0,0.0,114.18999936878679,1.9590646128622986,1.538931131362915,0.8999804337363392,0.7999804317951202,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,21.0
21,-0.9767563343048096,-0.9767563343048096,0.8999999823903627,0.8999994130120902,0.7152824233628771,0.7999999823903627,-3.5219274590048144e-05,0.0,0.0,-3.5219274590048144e-05,19.99996478072541,102.79,1.7536262911920857,0.0,-0.003620189235111049,35.07246406239584,0.0015408432633146063,-0.1199858301067689,0.0,-0.1199858301067689,-0.1199858301067689,-0.1199858301067689,6.341695785522461,7.143697261810303,8093.440729292064,2529.515880871312,5563.924848420752,-7.065000000000012,0.0,0.0,21.0,20.999999791383743,0.0,0.0,102.79000087022779,1.753626440767532,0.0,0.8999994130120902,0.7999994158744812,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,21.0
22,-0.9839023351669312,-0.9839023351669312,0.8999999994717109,0.8999999823903627,0.7152824233628771,0.799999999471711,-1.0565782382343514e-06,0.07090461492232025,0.07090355834408202,-0.0,19.92909644165592,99.96,1.8240587610558525,7.087519692074438,-0.0,36.35184296432949,4.622529792275287e-05,-0.11999953170903294,0.0,-0.11999953170903294,-0.11999953170903294,-0.11999953170903294,5.3080153465271,6.528648376464844,8136.880091948468,2529.51592709661,5607.364164851859,-8.469999999999999,0.0,0.0,21.0,22.00000023841858,0.0,0.0,99.96000022947787,1.824058916077672,0.07090449333190918,0.8999999823903627,0.7999999821186066,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,21.0
23,-0.9877532124519348,-0.9877532124519348,0.8999999999841514,0.8999999994717109,0.7152824233628771,0.7999999999841514,-3.169734474894881e-08,0.0,0.0,-3.169734474894881e-08,19.999999968302657,91.49,12.677661314615488,0.0,-2.8999900710813264e-06,253.55322589046156,1.3867588327665104e-06,-0.7599999820475969,0.0,-0.7599999820475969,-0.7599999820475969,-0.7599999820475969,3.9538111686706543,4.989311695098877,8390.43331493894,2529.515928483369,5860.917386455571,0.0,0.0,0.0,21.0,23.0,0.0,0.0,91.48999975457785,12.677661501243865,0.0,0.8999999994717109,0.800000011920929,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,21.0
