hour,action,delta,soc,soc_before,dod_morning,dod_evening,p_battery,p_pv_raw,p_pv_grid,p_bess_em,p_reserve,price_em,price_as,revenue_pv,revenue_energy,revenue_reserve,degradation_cost,reward,reward_base,reward_with_shaping,reward_final,reward_shaping_component,q1_eval,q2_eval,cumulative_revenue,cumulative_degradation,cumulative_profit,future_price_trend,delta_to_morning_peak,delta_to_evening_peak,time_to_peak_hour_raw,k,weekday,season,price_em_raw,price_as_raw,p_res_total_raw,soc_raw,dod_raw,price_em_max_morning,price_em_max_evening,k_em_max_morning,k_em_max_evening,price_em_min,k_em_min,price_as_min,price_as_max,time_to_peak_hour
0,-0.21884499490261078,-0.21884499490261078,0.5707598816851774,0.5,0.07075988168517744,0.0,-4.376899898052216,0.5215498606617941,0.0,-3.8553500373904215,15.623100101947784,83.14999999999999,1.1644882379556112,0.0,-320.5723556090135,18.192916309121305,3.8297874107956886,3.0001285686179506,0.0,3.0001285686179506,3.0001285686179506,3.0001285686179506,1.4213788509368896,2.895723819732666,-302.3794392998922,3.8297874107956886,-306.2092267106879,-1.3983333333333405,37.96000000000001,47.45000000000003,8.0,0.0,0.0,0.0,83.14999998835846,1.1644884185864801,0.5215495824813843,0.5,0.0,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,7.999999992549419
1,-0.30734145641326904,-0.30734145641326904,0.6701336192588011,0.5707598816851774,0.1701336192588011,0.0,-6.146829128265381,0.0,0.0,-6.146829128265381,13.85317087173462,82.73,1.056661682411641,0.0,-508.527173781395,14.638114840063043,26.89237743616104,4.25061336757044,0.0,4.25061336757044,4.25061336757044,4.25061336757044,2.6248509883880615,4.984031677246094,-796.2684982412242,30.72216484695673,-826.9906630881809,3.799999999999983,38.379999999999995,47.87000000000002,7.0,0.9999997615814209,0.0,0.0,82.73000000234693,1.0566615436229732,0.0,0.5707598816851774,0.07075989246368408,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,6.999999895691872
2,-0.02363249845802784,-0.02363249845802784,0.6777747937602301,0.6701336192588011,0.1777747937602301,0.0,-0.4726499691605568,0.6800729650057269,0.2074229958451701,-0.0,19.527350030839443,77.46999999999998,1.3101646303141927,16.069059488125326,-0.0,25.584043334170598,2.067843615077436,0.36275757113037754,0.0,0.36275757113037754,0.36275757113037754,0.36275757113037754,3.3297274112701416,7.177499771118164,-754.6153954189283,32.790008462034166,-787.4054038809625,16.333333333333343,43.640000000000015,53.13000000000004,6.0,2.0000002086162567,0.0,0.0,77.47000010788439,1.3101647620472403,0.6800729036331177,0.6701336192588011,0.17013362050056458,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,5.999999955296516
3,0.7929711937904358,0.7929711937904358,0.40527610173602535,0.6777747937602301,0.27249869202420474,0.0,15.859423875808716,1.5991813492284268,1.5991813492284268,15.859423875808716,2.5413947749628534,75.21999999999998,1.453175043889333,120.29042108896223,1192.9458639383313,3.6930914636467658,69.38497945666313,-0.04736686779167696,0.0,-0.04736686779167696,-0.04736686779167696,-0.04736686779167696,4.446276664733887,9.401795387268066,562.313981072012,102.1749879186973,460.1389931533147,25.685000000000002,45.890000000000015,55.38000000000004,5.0,2.9999999701976776,0.0,0.0,75.2200001773238,1.4531750926391265,1.5991812944412231,0.6777747937602301,0.17777478694915771,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,4.999999701976776
4,0.7948784232139587,0.7948784232139587,0.1321220044116409,0.40527610173602535,0.5456527893485892,0.0,15.897568464279175,0.0,0.0,15.897568464279175,2.418997639882349,78.69000000000001,1.3314249365946393,0.0,1250.9796624541284,3.2207137793029386,347.75931015610695,0.6352889125051879,0.0,0.6352889125051879,0.6352889125051879,0.6352889125051879,4.293537139892578,9.761837005615234,1816.5143573054436,449.93429807480425,1366.5800592306393,27.58499999999998,42.41999999999999,51.91000000000001,4.0,3.9999997317790985,0.0,0.0,78.69000001959502,1.3314249732269823,0.0,0.40527610173602535,0.2724986970424652,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,3.999999761581421
5,-0.7017159461975098,-0.7017159461975098,0.3590101603488357,0.1321220044116409,0.5456527893485892,0.0,-14.034318923950195,0.0,0.0,-14.034318923950195,1.9273202646984537,82.09999999999998,1.5906967521436028,0.0,-1152.2175836563108,3.0657820853963793,307.0007264614105,12.588922676468323,0.0,12.588922676468323,12.588922676468323,12.588922676468323,9.55636215209961,13.346529960632324,667.362555734529,756.9350245362148,-89.57246880168577,27.673333333333346,39.01000000000002,48.50000000000004,3.0,5.000000178813934,0.0,0.0,82.09999999927238,1.590696664489913,0.0,0.1321220044116409,0.5456527881324291,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,2.9999998211860657
6,-0.8874046802520752,-0.8874046802520752,0.6459376736303399,0.3590101603488357,0.5456527893485892,0.0,-17.748093605041504,1.658173456282761,0.0,-16.089920148758743,2.251906394958496,94.3,1.9500643327920735,0.0,-1517.2794700279494,4.391362341594943,388.2395476102829,10.755379545831762,0.0,10.755379545831762,10.755379545831762,10.755379545831762,12.40431022644043,15.866524696350098,-845.5255519518254,1145.1745721464977,-1990.7001240983232,15.669999999999987,26.810000000000002,36.300000000000026,2.0,5.999999940395355,0.0,0.0,94.300000179708,1.9500644917119758,1.6581732034683228,0.3590101603488357,0.5456527881324291,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,1.9999998807907104
7,-0.8919922709465027,-0.8919922709465027,0.8923781302089102,0.6459376736303399,0.7602561257972693,0.0,-15.243739582179606,2.437657425313785,0.0,-12.80608215686582,4.756260417820394,111.39999999999999,2.126502353117476,0.0,-1426.5975522748522,10.114198970534579,666.9136067203577,4.117095683660448,0.0,4.117095683660448,4.117095683660448,4.117095683660448,12.155224800109863,16.34886932373047,-2262.008905256143,1812.0881788668553,-4074.0970841229982,-4.513333333333335,9.710000000000008,19.20000000000003,0.0,7.000000044703484,0.0,0.0,111.40000039100646,2.1265024027511403,2.4376577138900757,0.6459376736303399,0.5456527881324291,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,0.0
8,0.004990923684090376,0.004990923684090376,0.8906630361593946,0.8923781302089102,0.7602561257972693,0.0,0.09981847368180752,4.12262341273602,4.12262341273602,0.09981847368180752,15.777558113582172,121.11,2.3566789082459483,499.29092151645943,12.08901534760371,37.18263842990384,4.367058223579079,0.077157269082629,0.0,0.077157269082629,0.077157269082629,0.077157269082629,1.4155147075653076,7.963064670562744,-1713.446329962176,1816.4552370904344,-3529.9015670526105,-17.74166666666666,0.0,9.490000000000023,0.0,8.000000149011612,0.0,0.0,121.10999883770943,2.3566787844787136,4.1226232051849365,0.8923781302089102,0.7602561116218567,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,0.0
9,0.9795904159545898,0.9795904159545898,0.7025021145704486,0.8906630361593946,0.7602561257972693,0.0,10.950965636476651,9.049034363523349,9.049034363523349,10.950965636476651,0.0,117.83,2.4346604782348846,1066.2477190539562,1290.3522809460437,0.0,479.1047465958535,19.88179647804096,0.0,19.88179647804096,19.88179647804096,19.88179647804096,3.756765127182007,5.782257556915283,643.153670037824,2295.559983686288,-1652.406313648464,-16.103333333333325,0.0,12.770000000000024,0.0,9.000000081956387,0.0,0.0,117.83000042796134,2.4346604367992475,9.049034342169762,0.8906630361593946,0.7602561116218567,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,0.0
