episode,return,episode_profit,episode_revenue,episode_degradation,rev_pv,rev_energy,rev_reserve,deg_cost
1,120.65297156280039,12065.297156280038,12258.28821173223,192.99105545219138,9811.05578662392,784.314732649349,1662.9176924589594,192.99105545219138
2,65.28681683659948,6528.681683659947,6775.352722793931,246.67103913398358,4438.282201569861,699.6022926402504,1637.4682285838212,246.67103913398358
3,107.67012933155323,10767.012933155322,10887.56597194991,120.553038794589,10126.073907823024,-595.7389545047763,1357.2310186316602,120.553038794589
4,92.75443830342451,9275.443830342449,9297.092297654906,21.648467312458674,9491.092893387073,-1540.8894672112147,1346.8888714790542,21.648467312458674
5,75.7371163389496,7573.71163389496,7703.935250043159,130.2236161481989,4510.059099307203,-493.52051800529176,3687.396668741249,130.2236161481989
6,129.99414555750994,12999.414555750996,13113.552555811408,114.1380000604112,9466.941109706533,-742.5943189805596,4389.205765085433,114.1380000604112
7,107.92834602740288,10792.83460274029,10935.463624371016,142.6290216307269,9547.123391393696,12.684215718159862,1375.6560172591592,142.6290216307269
8,123.4670342841523,12346.70342841523,12425.888038101222,79.18460968599119,11878.74388594062,-1725.254225551709,2272.3983777123153,79.18460968599119
9,126.02852622699159,12602.852622699158,12624.485292569068,21.63266986991004,12689.331055609315,-1732.7900198228851,1667.944256782638,21.63266986991004
10,116.52384587870809,11652.384587870809,11783.09876484027,130.71417696946162,10088.312947678587,-730.3706381477555,2425.1564553094413,130.71417696946162
11,8.332094931856641,833.2094931856639,1001.8486229360952,168.6391297504314,-2271.551470348683,514.5381412732138,2758.8619520115653,168.6391297504314
12,103.07168853500154,10307.168853500158,10328.818337488074,21.649483987916476,8967.561796238462,-859.6451955194218,2220.9017367690303,21.649483987916476
13,135.84212115273337,13584.21211527334,13690.567505118934,106.35538984559462,8859.565189554702,54.98001898715276,4776.022296577076,106.35538984559462
14,-8.620466119607396,-862.0466119607393,-728.2320838321797,133.81452812855963,-2033.7271059269187,-204.45962805658087,1509.9546501513196,133.81452812855963
15,92.44221718639908,9244.221718639907,9265.838306748416,21.616588108509102,9529.528051123893,-1604.4726521536645,1340.7829077781882,21.616588108509102
16,124.54150685244883,12454.150685244884,12475.79270225588,21.64201701099516,12072.36093370968,-1878.7311867653102,2282.162955311513,21.64201701099516
17,124.59882358042584,12459.882358042581,12980.701751607825,520.8193935652441,10961.742906370213,359.59142292250067,1659.3674223151104,520.8193935652441
18,89.41130565343387,8941.130565343388,8962.779865033792,21.649299690402795,7789.231051798271,-599.9780383704393,1773.5268516059562,21.649299690402795
19,96.66439247393485,9666.439247393488,9860.661596872485,194.22234947899753,6882.668884005836,1325.6706870384915,1652.3220258281558,194.22234947899753
20,109.74690606020776,10974.690606020777,10996.206434363985,21.515828343209247,10717.166866586256,-1511.0605176195838,1790.1000853973098,21.515828343209247
21,43.84275852563597,4384.275852563596,4406.191313195974,21.915460632377016,4646.81918392427,-1517.2226251072475,1276.5947543789518,21.915460632377016
22,105.42838481545746,10542.838481545748,10696.042073555764,153.20359201001557,7944.788000720038,533.3868793462531,2217.867193489473,153.20359201001557
23,90.91972326197748,9091.972326197749,9144.679196619605,52.706870421856486,9078.06741412197,-1193.112104827552,1259.7238873251838,52.706870421856486
24,126.37684705221056,12637.684705221058,12659.331758546929,21.6470533258706,12689.509870601174,-1701.4959911104054,1671.3178790561622,21.6470533258706
25,59.74548066083636,5974.548066083636,6031.727977253876,57.17991117024056,5203.35478609863,-853.6154471195355,1681.9886382747832,57.17991117024056
26,121.25225278880592,12125.225278880593,12199.741978494689,74.51669961409645,9829.93049476826,810.7975273759922,1559.0139563504365,74.51669961409645
27,110.94312840124728,11094.312840124727,11115.961882846916,21.6490427221895,9943.744826399874,-1340.7424080231565,2512.9594644701983,21.6490427221895
28,137.18380398814776,13718.380398814774,13842.71435958622,124.33396077144546,9456.036352732248,-10.903326859650122,4397.581333713623,124.33396077144546
29,68.69609832050033,6869.609832050032,6891.254748493175,21.644916443142005,4702.522060361843,-1349.185126868774,3537.917815000107,21.644916443142005
30,102.44169640808575,10244.169640808574,10373.56596812582,129.39632731724737,10099.222469875234,-1009.5912687308326,1283.934766981419,129.39632731724737
31,109.9606076067315,10996.06076067315,11017.710244462127,21.649483788976873,11282.760971344542,-1922.150005160812,1657.0992782783972,21.649483788976873
32,127.8868675029846,12788.686750298462,12810.336203998742,21.649453700280223,8941.891216865017,-1104.8478310167854,4973.292818150509,21.649453700280223
33,68.49656244497787,6849.656244497787,6979.953006839601,130.29676234181323,4722.487052073586,-301.91613264739004,2559.3820874134035,130.29676234181323
34,58.89317275900589,5889.3172759005865,6568.926437761922,679.609161861335,5088.486724809939,-133.3095235932284,1613.749236545215,679.609161861335
35,48.121294443324864,4812.129444332486,4947.312593620723,135.18314928823747,248.10395713994234,397.93122744834074,4301.27740903244,135.18314928823747
36,106.52529301571384,10652.529301571387,10716.447336047893,63.91803447650601,7768.875990816784,1182.5326860735154,1765.0386591575896,63.91803447650601
37,92.81550101149445,9281.550101149445,9494.692923854589,213.14282270514445,9055.758845671196,-796.863692916804,1235.797771100199,213.14282270514445
38,-5.536554687013793,-553.65546870138,-532.0073751470309,21.64809355434912,-2645.592632590728,-512.7288353404498,2626.3140927841478,21.64809355434912
39,98.20553967016286,9820.553967016285,9847.772881600056,27.21891458377065,9693.421758585857,-1480.2823708145543,1634.6334938287562,27.21891458377065
40,61.170279740858206,6117.027974085822,6207.881336322471,90.85336223664841,256.7086604666555,1893.0014801662153,4058.1711956895997,90.85336223664841
