hour,action,delta,soc,soc_before,dod_morning,dod_evening,p_battery,p_pv_raw,p_pv_grid,p_bess_em,p_reserve,price_em,price_as,revenue_pv,revenue_energy,revenue_reserve,degradation_cost,reward,cumulative_revenue,cumulative_degradation,cumulative_profit,k,weekday,season,price_em_raw,price_as_raw,p_res_total_raw,soc_raw,dod_raw,price_em_max_morning,price_em_max_evening,k_em_max_morning,k_em_max_evening,price_em_min,k_em_min,price_as_min,price_as_max,max_future_price_delta,avg_future_price_delta,peak_hour_price_delta,time_to_peak_hour
0,-0.2134307622909546,-0.2134307622909546,0.5690092798074087,0.5,0.06900927980740867,0.0,-4.268615245819092,0.5215498606617941,0.0,-3.7470653851572977,15.731384754180908,83.14999999999999,1.1644882379556112,0.0,-311.5684867758293,18.31901251299789,3.7350383400917053,-0.14296942143886274,-293.24947426283137,3.7350383400917053,-296.9845126029231,0.0,0.0,0.0,83.14999998835846,1.1644884185864801,0.5215495824813843,0.5,0.0,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,47.45000132977961,19.64086975255981,47.44999998807907,7.999999992549419
1,-0.30802369117736816,-0.30802369117736816,0.6686036066214244,0.5690092798074087,0.16860360662142437,0.0,-6.160473823547363,0.0,0.0,-6.160473823547363,13.839526176452637,82.73,1.056661682411641,0.0,-509.65599942207336,14.62369701339039,26.952072978019714,-0.24631938227981556,-788.2817766715144,30.68711131811142,-818.9688879896258,0.9999997615814209,0.0,0.0,82.73000000234693,1.0566615436229732,0.0,0.5690092798074087,0.06900927424430847,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,47.869999204874034,20.97272686067967,47.87000053167343,6.999999895691872
2,-0.37580209970474243,-0.37580209970474243,0.7901129521926245,0.6686036066214244,0.29011295219262445,0.0,-7.516041994094849,0.6800729650057269,0.0,-6.835969029089122,12.483958005905151,77.46999999999998,1.3101646303141927,0.0,-529.5825206835342,16.35604022566463,32.88268372416496,-0.2463266009013716,-1301.508257129384,63.56979504227638,-1365.0780521716604,2.0000002086162567,0.0,0.0,77.47000010788439,1.3101647620472403,0.6800729036331177,0.6686036066214244,0.16860359907150269,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,53.12999953210351,27.481904630586484,53.1299984049797,5.999999955296516
3,-0.4269167184829712,-0.4269167184829712,0.8967033885657788,0.7901129521926245,0.3967033885657788,0.0,-6.593222868442535,1.5991813492284268,0.0,-4.994041519214107,13.406777131557465,75.21999999999998,1.453175043889333,0.0,-375.6518030752851,19.482393946565526,115.38140019774436,-0.21684346489708028,-1657.6776662581033,178.95119524002075,-1836.628861498124,2.9999999701976776,0.0,0.0,75.2200001773238,1.4531750926391265,1.5991812944412231,0.7901129521926245,0.2901129573583603,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,55.380001300573326,31.218500217832627,55.3800002002716,4.999999701976776
4,-0.46633318066596985,-0.46633318066596985,0.8999011016569733,0.8967033885657788,0.39990110165697335,0.0,-0.19779668605327316,0.0,0.0,-0.19779668605327316,19.802203313946727,78.69000000000001,1.3314249365946393,0.0,-15.564621225532068,26.36514729170568,3.4614420059322804,0.003598622323436482,-1646.8771401919298,182.41263724595302,-1829.2897774378828,3.9999997317790985,0.0,0.0,78.69000001959502,1.3314249732269823,0.0,0.8967033885657788,0.3967033922672272,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,51.90999871551989,29.208947499860074,51.91000017642975,3.999999761581421
5,-0.4693034589290619,-0.4693034589290619,0.8999970330497092,0.8999011016569733,0.39999703304970924,0.0,-0.005933900581600593,0.0,0.0,-0.005933900581600593,19.9940660994184,82.09999999999998,1.5906967521436028,0.0,-0.48717323774940857,31.804496006489362,0.10384326017801038,0.015304851557583423,-1615.5598174231898,182.51648050613105,-1798.0762979293208,5.000000178813934,0.0,0.0,82.09999999927238,1.590696664489913,0.0,0.8999011016569733,0.3999010995030403,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,48.50000002026556,27.232222611792366,48.50000134706497,2.9999998211860657
6,-0.45058828592300415,-0.45058828592300415,0.8999999109914913,0.8999970330497092,0.39999991099149135,0.0,-0.0001780170174470186,1.658173456282761,1.657995439265314,-0.0,18.342004560734686,94.3,1.9500643327920735,156.3489699227191,-0.0,35.76808888579826,0.0031152978053228253,0.09419889848278311,-1423.4427586146726,182.51959580393637,-1605.962354418609,5.999999940395355,0.0,0.0,94.300000179708,1.9500644917119758,1.6581732034683228,0.8999970330497092,0.3999970331788063,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,36.30000252842902,15.916470671528941,36.30000342607498,1.9999998807907104
7,-0.4102875590324402,-0.4102875590324402,0.8999999973297448,0.8999999109914913,0.3999999973297448,0.0,-5.340510520479569e-06,2.437657425313785,2.4376520848032643,-0.0,17.562347915196735,111.39999999999999,2.126502353117476,271.5544422470836,-0.0,37.346374167933654,9.345893410839246e-05,-1.1298717927609727,-1114.5419421996553,182.5196892628705,-1297.0616314625258,7.000000044703484,0.0,0.0,111.40000039100646,2.1265024027511403,2.4376577138900757,0.8999999109914913,0.3999999091029167,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,19.199998694658262,-1.2575001440569906,19.199999163150785,0.0
8,-0.3679892122745514,-0.3679892122745514,0.8999999999198923,0.8999999973297448,0.3999999999198923,0.0,-1.6021531434873282e-07,4.12262341273602,4.122623252520706,-0.0,15.877376747479294,121.11,2.3566789082459483,499.29090211278265,-0.0,37.41787889905911,2.8037680011028243e-06,-1.362056054741388,-577.8331611878135,182.5196920666385,-760.352853254452,8.000000149011612,0.0,0.0,121.10999883770943,2.3566787844787136,4.1226232051849365,0.8999999973297448,0.3999999985098839,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,9.489999850988369,-11.698666590526699,9.489999997615813,0.0
9,-0.3215400278568268,-0.3215400278568268,0.8999999999975968,0.8999999999198923,0.39999999999759683,0.0,-4.806461895157099e-09,9.049034363523349,9.049034358716888,-0.0,10.950965641283112,117.83,2.4346604782348846,1066.2477184876109,-0.0,26.66188324534013,8.411308316524924e-08,-0.9731720600595006,515.0764405451375,182.51969215075158,332.556748394386,9.000000081956387,0.0,0.0,117.83000042796134,2.4346604367992475,9.049034342169762,0.8999999999198923,0.3999999985098839,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,12.770002571344364,-9.01999927606434,12.769997541904448,0.0
