hour,action,delta,soc,soc_before,dod_morning,dod_evening,p_battery,p_pv_raw,p_pv_grid,p_bess_em,p_reserve,price_em,price_as,revenue_pv,revenue_energy,revenue_reserve,degradation_cost,reward,cumulative_revenue,cumulative_degradation,cumulative_profit,k,weekday,season,price_em_raw,price_as_raw,p_res_total_raw,soc_raw,dod_raw,price_em_max_morning,price_em_max_evening,k_em_max_morning,k_em_max_evening,price_em_min,k_em_min,price_as_min,price_as_max,time_to_peak_hour
0,-0.13861870765686035,-0.13861870765686035,0.5448200488090515,0.5,0.04482004880905155,0.0,-2.772374153137207,0.5215498606617941,0.0,-2.250824292475413,17.227625846862793,83.14999999999999,1.1644882379556112,0.0,-187.15603991933057,20.061367666571797,2.425827383995056,-0.04494294444856465,-167.09467225275876,2.425827383995056,-169.5204996367538,0.0,0.0,0.0,83.14999998835846,1.1644884185864801,0.5215495824813843,0.5,0.0,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,7.999999992549419
1,-0.056562405079603195,-0.056562405079603195,0.5631085597847899,0.5448200488090515,0.06310855978478991,0.0,-1.131248101592064,0.0,0.0,-1.131248101592064,18.868751898407936,82.73,1.056661682411641,0.0,-93.58815544471145,19.937887125979575,0.9898420888930559,-0.02111112177752188,-240.74494057149064,3.415669472888112,-244.16061004437876,0.9999997615814209,0.0,0.0,82.73000000234693,1.0566615436229732,0.0,0.5448200488090515,0.044820040464401245,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,6.999999895691872
2,0.008658099919557571,0.008658099919557571,0.5601332677162134,0.5631085597847899,0.06310855978478991,0.0,0.17316199839115143,0.6800729650057269,0.6800729650057269,0.17316199839115143,19.14676503660312,77.46999999999998,1.3101646303141927,52.68525259899365,13.414860015362498,25.085414335893837,0.1515167485922575,0.03180005422315131,-149.55941362124068,3.5671862214803696,-153.12659984272105,2.0000002086162567,0.0,0.0,77.47000010788439,1.3101647620472403,0.6800729036331177,0.5631085597847899,0.06310856342315674,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,5.999999955296516
3,0.06410279124975204,0.06410279124975204,0.5381048171149241,0.5601332677162134,0.06310855978478991,0.0,1.282055824995041,1.5991813492284268,1.5991813492284268,1.282055824995041,17.118762825776532,75.21999999999998,1.453175043889333,120.29042108896223,96.43623915612696,24.876558920678892,1.1217988468706608,0.02353953321700856,92.0438055445274,4.68898506835103,87.35482047617637,2.9999999701976776,0.0,0.0,75.2200001773238,1.4531750926391265,1.5991812944412231,0.5601332677162134,0.06310856342315674,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,4.999999701976776
4,0.10060636699199677,0.10060636699199677,0.5035321824097706,0.5381048171149241,0.06310855978478991,0.0,2.0121273398399353,0.0,0.0,2.0121273398399353,17.987872660160065,78.69000000000001,1.3314249365946393,0.0,158.33430037200452,23.94950221602606,1.7606114223599434,-0.06120792971863509,274.327608132558,6.449596490710974,267.878011641847,3.9999997317790985,0.0,0.0,78.69000001959502,1.3314249732269823,0.0,0.5381048171149241,0.06310856342315674,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,3.999999761581421
5,0.12337695062160492,0.12337695062160492,0.46113460487657304,0.5035321824097706,0.10197395490821687,0.0,2.4675390124320984,0.0,0.0,2.4675390124320984,17.5324609875679,82.09999999999998,1.5906967521436028,0.0,202.58495292067522,27.888828750008685,10.79548317939043,-0.0778318037672317,504.8013898032419,17.245079670101404,487.55631013314047,5.000000178813934,0.0,0.0,82.09999999927238,1.590696664489913,0.0,0.5035321824097706,0.06310856342315674,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,2.9999998211860657
6,0.1353534311056137,0.1353534311056137,0.41462139831107003,0.46113460487657304,0.14848716147371988,0.0,2.707068622112274,1.658173456282761,1.658173456282761,2.707068622112274,15.634757921604965,94.3,1.9500643327920735,156.36575692746436,255.27657106518745,30.488783774760172,11.8434252217412,-0.0001714775985272751,946.9325015706538,29.088504891842604,917.8439966788112,5.999999940395355,0.0,0.0,94.300000179708,1.9500644917119758,1.6581732034683228,0.46113460487657304,0.10197395086288452,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,1.9999998807907104
7,0.132635235786438,0.132635235786438,0.3690422794841154,0.41462139831107003,0.19406628030067452,0.0,2.6527047157287598,2.437657425313785,2.437657425313785,2.6527047157287598,14.909637858957456,111.39999999999999,2.126502353117476,271.5550371799556,295.51130533218384,31.705379991202438,11.605583131313324,0.6284421759476763,1545.7042240739959,40.69408802315593,1505.01013605084,7.000000044703484,0.0,0.0,111.40000039100646,2.1265024027511403,2.4376577138900757,0.41462139831107003,0.1484871506690979,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,0.0
8,0.11979059129953384,0.11979059129953384,0.32787712783479106,0.3690422794841154,0.23523143194999885,0.0,2.395811825990677,4.12262341273602,4.12262341273602,2.395811825990677,13.481564761273303,121.11,2.3566789082459483,499.29092151645943,290.15677024573085,31.771719323044614,10.481676738709211,0.7341632376035216,2366.923635159231,51.17576476186514,2315.7478703973657,8.000000149011612,0.0,0.0,121.10999883770943,2.3566787844787136,4.1226232051849365,0.3690422794841154,0.19406628608703613,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,0.0
9,0.10737797617912292,0.10737797617912292,0.29097747966327114,0.32787712783479106,0.27213108012151876,0.0,2.1475595235824585,9.049034363523349,9.049034363523349,2.1475595235824585,8.803406112894193,117.83,2.4346604782348846,1066.2477190539562,253.04693866372108,21.433304936914883,9.395572915673256,0.9854703865565861,3707.6515978138227,60.571337677538395,3647.0802601362843,9.000000081956387,0.0,0.0,117.83000042796134,2.4346604367992475,9.049034342169762,0.32787712783479106,0.2352314293384552,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,0.0
