hour,action,delta,is_discharge_slot,soc,soc_before,dod_morning,dod_evening,p_battery,p_pv_raw,p_pv_grid,p_bess_em,p_reserve,price_em,price_as,revenue_pv,revenue_energy,revenue_reserve,degradation_cost,reward,cumulative_revenue,cumulative_degradation,cumulative_profit,k,weekday,season,price_em_raw,price_as_raw,p_res_total_raw,soc_raw,dod_raw,price_em_max_morning,price_em_max_evening,k_em_max_morning,k_em_max_evening,price_em_min,k_em_min,price_as_min,price_as_max,max_future_price_delta,avg_future_price_delta,peak_hour_price_delta,time_to_peak_hour
0,-0.9999022483825684,-0.9999022483825684,False,0.8233017269770304,0.5,0.0,0.0,-19.998044967651367,0.5215498606617941,0.0,-19.476495106989574,20.0,83.14999999999999,1.1644882379556112,0.0,-1619.470568146183,23.289764759112224,17.498289346694946,-0.12412888017243214,-1596.180803387071,17.498289346694946,-1613.6790927337659,0.0,0.0,0.0,83.14999998835846,1.1644884185864801,0.5215495824813843,0.5,0.0,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,47.45000132977961,19.64086975255981,47.44999998807907,19.00000011920929
1,-0.9999995231628418,-0.9999995231628418,False,0.897699016333902,0.8233017269770304,0.0,0.0,-4.601894187022984,0.0,0.0,-4.601894187022984,20.0,82.73,1.056661682411641,0.0,-380.7147060924115,21.13323364823282,4.026657413645111,-0.027969856142909526,-1955.7622758312496,21.524946760340057,-1977.2872225915896,0.9999997615814209,0.0,0.0,82.73000000234693,1.0566615436229732,0.0,0.8233017269770304,0.0,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,47.869999204874034,20.97272686067967,47.87000053167343,18.500000149011612
2,-0.9999909400939941,-0.9999909400939941,False,0.8999309502687223,0.897699016333902,0.0,0.0,-0.13805776916413517,0.6800729650057269,0.5420151958415917,-0.0,19.457984804158407,77.46999999999998,1.3101646303141927,41.9899172218481,-0.0,25.49316346759938,0.12080054801861828,0.005181769483965341,-1888.279195141802,21.645747308358676,-1909.9249424501606,2.0000002086162567,0.0,0.0,77.47000010788439,1.3101647620472403,0.6800729036331177,0.897699016333902,0.0,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,53.12999953210351,27.481904630586484,53.1299984049797,18.000000178813934
3,-0.9963514804840088,-0.9963514804840088,False,0.8999976841366483,0.8999309502687223,0.0,0.0,-0.004127868119136448,1.5991813492284268,1.5950534811092905,-0.0,18.40494651889071,75.21999999999998,1.453175043889333,119.9799228490408,-0.0,26.745608965369833,0.003611884604244392,0.011286303298428491,-1741.5536633273914,21.64935919296292,-1763.2030225203544,2.9999999701976776,0.0,0.0,75.2200001773238,1.4531750926391265,1.5991812944412231,0.8999309502687223,0.0,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,55.380001300573326,31.218500217832627,55.3800002002716,17.500000208616257
4,-0.8169230222702026,-0.8169230222702026,False,0.8999995192622741,0.8999976841366483,0.0,0.0,-0.00011351292530877746,0.0,0.0,-0.00011351292530877746,20.0,78.69000000000001,1.3314249365946393,0.0,-0.0089323320925477,26.628498731892787,9.932380964518027e-05,0.002047651313537738,-1714.934096927591,21.649458516772565,-1736.5835554443636,3.9999997317790985,0.0,0.0,78.69000001959502,1.3314249732269823,0.0,0.8999976841366483,0.0,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,51.90999871551989,29.208947499860074,51.91000017642975,17.00000023841858
5,-0.37685373425483704,-0.37685373425483704,False,0.8999996949950471,0.8999995192622741,0.0,0.0,-1.0870068433530367e-05,0.0,0.0,-1.0870068433530367e-05,20.0,82.09999999999998,1.5906967521436028,0.0,-0.0008924326183928429,31.813935042872057,9.511309879339071e-06,0.0024471563922264447,-1683.1210543173374,21.649468028082445,-1704.77052234542,5.000000178813934,0.0,0.0,82.09999999927238,1.590696664489913,0.0,0.8999995192622741,0.0,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,48.50000002026556,27.232222611792366,48.50000134706497,16.5000002682209
6,-0.32095804810523987,-0.32095804810523987,False,0.8999997899520276,0.8999996949950471,0.0,0.0,-5.87362766188196e-06,1.658173456282761,1.6581675826550992,-0.0,18.3418324173449,94.3,1.9500643327920735,156.36520304437585,-0.0,35.767753195113706,5.139424204146715e-06,0.014779457777190318,-1490.988098077848,21.64947316750665,-1512.6375712453546,5.999999940395355,0.0,0.0,94.300000179708,1.9500644917119758,1.6581732034683228,0.8999996949950471,0.0,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,36.30000252842902,15.916470671528941,36.30000342607498,16.000000298023224
7,-0.4098667502403259,-0.4098667502403259,False,0.899999873460957,0.8999997899520276,0.0,0.0,-5.165500792000698e-06,2.437657425313785,2.437652259812993,-0.0,17.562347740187008,111.39999999999999,2.126502353117476,271.5544617431674,-0.0,37.34637379577506,4.519813193000611e-06,0.023761602386425874,-1182.0872625389054,21.64947768731984,-1203.7367402262253,7.000000044703484,0.0,0.0,111.40000039100646,2.1265024027511403,2.4376577138900757,0.8999997899520276,0.0,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,19.199998694658262,-1.2575001440569906,19.199999163150785,15.500000014901161
8,-0.41495874524116516,0.0,True,0.899999873460957,0.899999873460957,0.0,0.0,0.0,4.12262341273602,4.12262341273602,0.0,15.87737658726398,121.11,2.3566789082459483,499.29092151645943,0.0,37.417878521483054,0.0,0.04128529231061096,-645.3784625009631,21.64947768731984,-667.027940188283,8.000000149011612,0.0,0.0,121.10999883770943,2.3566787844787136,4.1226232051849365,0.899999873460957,0.0,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,9.489999850988369,-11.698666590526699,9.489999997615813,15.000000044703484
9,-0.624980092048645,-0.624980092048645,False,0.8999999501728083,0.899999873460957,0.0,0.0,-4.74506296532408e-06,9.049034363523349,9.049029618460384,-0.0,10.950970381539616,117.83,2.4346604782348846,1066.2471599431872,-0.0,26.6618947862553,4.15193009465857e-06,0.08406992696865698,447.53059222847935,21.649481839249937,425.88111038922943,9.000000081956387,0.0,0.0,117.83000042796134,2.4346604367992475,9.049034342169762,0.899999873460957,0.0,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,12.770002571344364,-9.01999927606434,12.769997541904448,14.500000074505806
