hour,action,delta,is_discharge_slot,soc,soc_before,dod_morning,dod_evening,p_battery,p_pv_raw,p_pv_grid,p_bess_em,p_reserve,price_em,price_as,revenue_pv,revenue_energy,revenue_reserve,degradation_cost,reward,cumulative_revenue,cumulative_degradation,cumulative_profit,k,weekday,season,price_em_raw,price_as_raw,p_res_total_raw,soc_raw,dod_raw,price_em_max_morning,price_em_max_evening,k_em_max_morning,k_em_max_evening,price_em_min,k_em_min,price_as_min,price_as_max,max_future_price_delta,avg_future_price_delta,peak_hour_price_delta,time_to_peak_hour
0,-0.9999148845672607,-0.9999148845672607,False,0.8233058126767476,0.5,0.0,0.0,-19.998297691345215,0.5215498606617941,0.0,-19.476747830683422,20.0,83.14999999999999,1.1644882379556112,0.0,-1619.4915821213265,23.289764759112224,17.498510479927063,-0.12413051363875849,-1596.2018173622143,17.498510479927063,-1613.7003278421414,0.0,0.0,0.0,83.14999998835846,1.1644884185864801,0.5215495824813843,0.5,0.0,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,47.45000132977961,19.64086975255981,47.44999998807907,19.00000011920929
1,-0.9999995827674866,-0.9999995827674866,False,0.8976991433409731,0.8233058126767476,0.0,0.0,-4.601649319436632,0.0,0.0,-4.601649319436632,20.0,82.73,1.056661682411641,0.0,-380.6944481969926,21.13323364823282,4.026443154507053,-0.027968281361789755,-1955.7630319109742,21.524953634434116,-1977.2879855454082,0.9999997615814209,0.0,0.0,82.73000000234693,1.0566615436229732,0.0,0.8233058126767476,0.0,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,47.869999204874034,20.97272686067967,47.87000053167343,18.500000149011612
2,-0.999994158744812,-0.999994158744812,False,0.899930961263535,0.8976991433409731,0.0,0.0,-0.1380505931481606,0.6800729650057269,0.5420223718575663,-0.0,19.457977628142434,77.46999999999998,1.3101646303141927,41.99047314780565,-0.0,25.493154065837064,0.12079426900464052,0.0051818120043977305,-1888.2794046973313,21.645747903438757,-1909.9251526007702,2.0000002086162567,0.0,0.0,77.47000010788439,1.3101647620472403,0.6800729036331177,0.8976991433409731,0.0,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,53.12999953210351,27.481904630586484,53.1299984049797,18.000000178813934
3,-0.9977313280105591,-0.9977313280105591,False,0.8999977769104459,0.899930961263535,0.0,0.0,-0.004132926613045006,1.5991813492284268,1.5950484226153818,-0.0,18.40495157738462,75.21999999999998,1.453175043889333,119.97954234912899,-0.0,26.74561631624694,0.00361631078641438,0.011286274256344408,-1741.5542460319555,21.64936421422517,-1763.2036102461807,2.9999999701976776,0.0,0.0,75.2200001773238,1.4531750926391265,1.5991812944412231,0.899930961263535,0.0,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,55.380001300573326,31.218500217832627,55.3800002002716,17.500000208616257
4,-0.859306275844574,-0.859306275844574,False,0.8999996299158074,0.8999977769104459,0.0,0.0,-0.00011461888833666243,0.0,0.0,-0.00011461888833666243,20.0,78.69000000000001,1.3314249365946393,0.0,-0.009019360323211968,26.628498731892787,0.00010029152729457963,0.002047644544618637,-1714.934766660386,21.649464505752466,-1736.5842311661386,3.9999997317790985,0.0,0.0,78.69000001959502,1.3314249732269823,0.0,0.8999977769104459,0.0,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,51.90999871551989,29.208947499860074,51.91000017642975,17.00000023841858
5,-0.39635011553764343,-0.39635011553764343,False,0.8999997721982326,0.8999996299158074,0.0,0.0,-8.800974750325684e-06,0.0,0.0,-8.800974750325684e-06,20.0,82.09999999999998,1.5906967521436028,0.0,-0.0007225600270017385,31.813935042872057,7.700852906534974e-06,0.0024471695986147805,-1683.121554177541,21.649472206605374,-1704.7710263841464,5.000000178813934,0.0,0.0,82.09999999927238,1.590696664489913,0.0,0.8999996299158074,0.0,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,48.50000002026556,27.232222611792366,48.50000134706497,16.5000002682209
6,-0.29502061009407043,-0.29502061009407043,False,0.8999998373882625,0.8999997721982326,0.0,0.0,-4.032372984807902e-06,1.658173456282761,1.6581694239097762,-0.0,18.341830576090224,94.3,1.9500643327920735,156.3653766746919,-0.0,35.767749604548634,3.528326361706914e-06,0.01477947098101957,-1490.9884278983002,21.649475734931734,-1512.6379036332319,5.999999940395355,0.0,0.0,94.300000179708,1.9500644917119758,1.6581732034683228,0.8999997721982326,0.0,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,36.30000252842902,15.916470671528941,36.30000342607498,16.000000298023224
7,-0.4002266526222229,-0.4002266526222229,False,0.8999999005173673,0.8999998373882625,0.0,0.0,-3.904893083076704e-06,2.437657425313785,2.4376535204207017,-0.0,17.562346479579297,111.39999999999999,2.126502353117476,271.55460217486615,-0.0,37.346371115089795,3.416781447692116e-06,0.023761613067423543,-1182.0874546083442,21.64947915171318,-1203.7369337600574,7.000000044703484,0.0,0.0,111.40000039100646,2.1265024027511403,2.4376577138900757,0.8999998373882625,0.0,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,19.199998694658262,-1.2575001440569906,19.199999163150785,15.500000014901161
8,-0.6667262315750122,0.0,True,0.8999999005173673,0.8999999005173673,0.0,0.0,0.0,4.12262341273602,4.12262341273602,0.0,15.87737658726398,121.11,2.3566789082459483,499.29092151645943,0.0,37.417878521483054,0.0,0.04128529231061096,-645.378654570402,21.64947915171318,-667.0281337221152,8.000000149011612,0.0,0.0,121.10999883770943,2.3566787844787136,4.1226232051849365,0.8999999005173673,0.0,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,9.489999850988369,-11.698666590526699,9.489999997615813,15.000000044703484
9,-0.6636516451835632,-0.6636516451835632,False,0.8999999645585258,0.8999999005173673,0.0,0.0,-3.9613087710039415e-06,9.049034363523349,9.049030402214578,-0.0,10.950969597785422,117.83,2.4346604782348846,1066.2472522929438,-0.0,26.661892878079936,3.466145174628449e-06,0.08406993397826343,447.5304906006218,21.649482617858354,425.88100798276344,9.000000081956387,0.0,0.0,117.83000042796134,2.4346604367992475,9.049034342169762,0.8999999005173673,0.0,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,12.770002571344364,-9.01999927606434,12.769997541904448,14.500000074505806
